Dataset,Seed,Horizon,Model,MAE,MSE,QLIKE,Violation_Rate,Kupiec_LR,Kupiec_p,LR_Ind,N_eval,Seq_len
VN30_INDEX,42,1,GARCH,0.303269916,0.194897817,1.368362573,0.100478469,17.56687453,2.77E-05,3.476319675,418,60
VN30_INDEX,42,1,GJR-GARCH,0.321672251,0.226009116,1.40489274,0.098086124,16.08849361,6.05E-05,3.959167919,418,60
VN30_INDEX,42,1,FI-GARCH,0.266961434,0.162123893,1.29962101,0.098086124,16.08849361,6.05E-05,2.304335968,418,60
VN30_INDEX,42,1,Autoformer,0.171386266,0.040251305,1.200242477,0.076555024,5.37635819,0.020411443,4.553607138,418,60
VN30_INDEX,42,1,Informer,0.345824823,0.153144236,1.353795639,0.078947368,6.318555601,0.011948091,4.022793442,418,60
VN30_INDEX,42,1,Reformer,0.223403535,0.101049507,1.298671399,0.105263158,20.68137093,5.42E-06,2.615218164,418,60
VN30_INDEX,42,1,Transformer,0.34794996,0.154389931,1.354100969,0.076555024,5.37635819,0.020411443,2.491357534,418,60
VN30_INDEX,42,1,GARCH-LSTM-Hybrid,0.256580547,0.125534494,1.271212577,0.09569378,14.66420307,0.000128463,4.478361627,418,60
VN30_INDEX,42,3,GARCH,0.843341088,1.18672045,1.614617583,0.122596154,33.44994292,7.31E-09,56.4593867,416,60
VN30_INDEX,42,3,GJR-GARCH,0.836826353,1.247089753,1.613355575,0.125,35.4249006,2.65E-09,64.66425606,416,60
VN30_INDEX,42,3,FI-GARCH,0.819648157,1.081429295,1.602210291,0.125,35.4249006,2.65E-09,64.66425606,416,60
VN30_INDEX,42,3,Autoformer,0.920781672,0.879869976,1.702088393,0.091346154,12.15980684,0.000488304,45.1476462,416,60
VN30_INDEX,42,3,Informer,0.95557517,1.061489361,1.797254395,0.072115385,3.79051527,0.051543779,47.04949346,416,60
VN30_INDEX,42,3,Reformer,0.653523804,0.544493858,1.517092093,0.127403846,37.4438167,9.41E-10,61.89539751,416,60
VN30_INDEX,42,3,Transformer,0.969503667,1.088288509,1.806233383,0.072115385,3.79051527,0.051543779,47.04949346,416,60
VN30_INDEX,42,3,GARCH-LSTM-Hybrid,0.83670209,0.991976647,1.632010361,0.103365385,19.32834761,1.10E-05,55.24837832,416,60
VN30_INDEX,42,5,GARCH,1.375223078,2.794767026,1.953920244,0.111111111,24.52625848,7.33E-07,105.2130683,414,60
VN30_INDEX,42,5,GJR-GARCH,1.360289464,2.881670688,1.945123145,0.108695652,22.82087693,1.78E-06,101.7516818,414,60
VN30_INDEX,42,5,FI-GARCH,1.371325529,2.617579603,1.952917756,0.111111111,24.52625848,7.33E-07,105.2130683,414,60
VN30_INDEX,42,5,Autoformer,1.515910644,2.371797243,2.093226182,0.084541063,8.691357724,0.003197224,65.70772009,414,60
VN30_INDEX,42,5,Informer,1.562587685,2.590751487,2.177065101,0.072463768,3.885483463,0.048705238,60.53326702,414,60
VN30_INDEX,42,5,Reformer,1.150209481,1.535605537,1.850606603,0.103864734,19.56071404,9.75E-06,102.4978925,414,60
VN30_INDEX,42,5,Transformer,1.580569024,2.647252826,2.187778461,0.070048309,3.131807758,0.076778558,63.8362352,414,60
VN30_INDEX,42,5,GARCH-LSTM-Hybrid,1.403541619,2.471601226,1.993302357,0.094202899,13.67238968,0.000217631,103.9665414,414,60
VN30_INDEX,42,10,GARCH,2.40026371,7.712025605,2.515377587,0.092909535,12.79475818,0.000347592,76.21584622,409,60
VN30_INDEX,42,10,GJR-GARCH,2.378794255,7.865641066,2.501065942,0.092909535,12.79475818,0.000347592,76.21584622,409,60
VN30_INDEX,42,10,FI-GARCH,2.394519763,7.350199452,2.522672436,0.092909535,12.79475818,0.000347592,69.21023036,409,60
VN30_INDEX,42,10,Autoformer,2.608168369,7.060927798,2.695297397,0.068459658,2.644076416,0.103936546,92.95525289,409,60
VN30_INDEX,42,10,Informer,2.678132304,7.323260603,2.771969918,0.048899756,0.01049661,0.918397145,46.56136957,409,60
VN30_INDEX,42,10,Reformer,2.085477356,4.821839146,2.408731164,0.095354523,14.15519011,0.000168332,79.83436134,409,60
VN30_INDEX,42,10,Transformer,2.703560771,7.460094535,2.783983528,0.048899756,0.01049661,0.918397145,46.56136957,409,60
VN30_INDEX,42,10,GARCH-LSTM-Hybrid,2.443868126,7.086387647,2.571946569,0.090464548,11.49235474,0.00069883,87.51987104,409,60
VN30_INDEX,42,21,GARCH,3.996291395,20.43072504,3.192783613,0.100502513,16.74075905,4.29E-05,176.677468,398,60
VN30_INDEX,42,21,GJR-GARCH,3.961842824,20.69139231,3.175490055,0.09798995,15.26318983,9.35E-05,172.5142757,398,60
VN30_INDEX,42,21,FI-GARCH,3.972228004,19.55620543,3.199244299,0.095477387,13.84247933,0.000198791,181.0582167,398,60
VN30_INDEX,42,21,Autoformer,4.261484609,19.00114482,3.381158274,0.072864322,3.862208359,0.049385286,140.1935223,398,60
