Dataset,Seed,Horizon,Model,MAE,MSE,QLIKE,Violation_Rate,Kupiec_LR,Kupiec_p,LR_Ind,N_eval,Seq_len
IBEX_35,42,1,GARCH,0.18867032805928344,0.055703287402975525,0.831809889230584,0.04176334106728538,1.301088825409579,0.25401443288177206,3.2070145426183103,862,60
IBEX_35,42,1,GJR-GARCH,0.19927053619245258,0.07962217905608635,0.8439889615621795,0.042923433874709975,0.9525503461429707,0.3290709771582251,5.546139871478317,862,60
IBEX_35,42,1,FI-GARCH,0.15164761424630455,0.047860163327916,0.8136049396437363,0.048723897911832945,0.029793109324145917,0.8629605021360708,5.820424740305441,862,60
IBEX_35,42,1,Autoformer,0.13904940312119624,0.02866970465445254,0.797528637440951,0.03944315545243619,2.1737028191372474,0.14038784507740143,3.872172818404181,862,60
IBEX_35,42,1,Informer,0.4864676787191149,0.26308077801825874,1.0826323532757702,0.01160092807424594,38.30147606029398,6.061677826352252e-10,2.702076009207147,862,60
IBEX_35,42,1,Reformer,0.1698883084848033,0.04707252062549057,0.8260970530936955,0.03596287703016241,3.946695336083451,0.04696350965860019,0.6837111336767521,862,60
IBEX_35,42,1,Transformer,0.4149659415404592,0.1932313988551508,1.0190313847161052,0.013921113689095127,32.67964211825253,1.0866945010512552e-08,2.031949132492443,862,60
IBEX_35,42,1,GARCH-LSTM-Hybrid,0.18428107107600566,0.05320342824455726,0.8236667795876361,0.037122969837587005,3.2914086582333084,0.06964324937092592,2.1512609166726975,862,60
IBEX_35,42,3,GARCH,0.8706996862461401,0.8596122142143765,1.37866707962012,0.04186046511627907,1.2667602004280525,0.2603753450984204,61.211559796848746,860,60
IBEX_35,42,3,GJR-GARCH,0.8659016463107035,0.931692603264894,1.3670476608479836,0.046511627906976744,0.22534952683525944,0.6349937322919262,74.04070173616077,860,60
IBEX_35,42,3,FI-GARCH,0.757178703963951,0.6906382191858148,1.278103805398936,0.05116279069767442,0.02430209367145153,0.8761187125289173,57.36506076740983,860,60
IBEX_35,42,3,Autoformer,0.8111648728038483,0.6960994533667029,1.3306374437922195,0.03953488372093023,2.1296889546676425,0.14447006959188302,58.71866308710611,860,60
IBEX_35,42,3,Informer,1.4618158748559624,2.185565876102636,1.872825497727517,0.018604651162790697,23.24705416376986,1.4246850360555285e-06,37.61288936861598,860,60
IBEX_35,42,3,Reformer,0.7967762514821294,0.7154820534766348,1.321498679988643,0.04186046511627907,1.2667602004280525,0.2603753450984204,47.987046530627566,860,60
IBEX_35,42,3,Transformer,1.3183237007303512,1.78664964671465,1.7680301564861018,0.020930232558139535,19.40748735912709,1.0559227123230208e-05,50.24520595407644,860,60
IBEX_35,42,3,GARCH-LSTM-Hybrid,0.8897845478520816,0.8640870516592205,1.3979695006207116,0.03488372093023256,4.6056018029792085,0.03186766645592731,60.74535531816721,860,60
IBEX_35,42,5,GARCH,1.3867612057795649,2.102520298177292,1.780141514743462,0.03496503496503497,4.542623759399191,0.03306088003551633,86.93516337590376,858,60
IBEX_35,42,5,GJR-GARCH,1.3812162867190483,2.2241315237253203,1.7640194014333823,0.04195804195804196,1.2328379888767813,0.2668558259472733,93.15733841783253,858,60
IBEX_35,42,5,FI-GARCH,1.2406273043978984,1.7467888563498888,1.6633560989623304,0.04428904428904429,0.6116870271583821,0.4341533207998871,86.96140636900105,858,60
IBEX_35,42,5,Autoformer,1.3101197348148617,1.7868852418272518,1.728922826657351,0.04428904428904429,0.6116870271583821,0.4341533207998871,121.39513672739241,858,60
IBEX_35,42,5,Informer,2.1496480972219927,4.669627756855378,2.3219676025002087,0.018648018648018648,23.11708887677071,1.5242993788300296e-06,77.9900654321186,858,60
IBEX_35,42,5,Reformer,1.2912496418607402,1.800493463297172,1.712463572851048,0.045454545454545456,0.3844365721159875,0.5352383699095935,108.60447358183433,858,60
IBEX_35,42,5,Transformer,1.9644009972001946,3.907527564132581,2.2089338063230866,0.019813519813519812,21.142009511762353,4.264757429983668e-06,75.80231856331845,858,60
IBEX_35,42,5,GARCH-LSTM-Hybrid,1.4119584029592094,2.116067180658249,1.8047389344530855,0.037296037296037296,3.1844167501839706,0.07434352378490616,98.08504293243033,858,60
IBEX_35,42,10,GARCH,2.337361527922932,5.858636314141447,2.392364872943944,0.03634232121922626,3.686205063114926,0.054864312067123944,152.53868080160743,853,60
IBEX_35,42,10,GJR-GARCH,2.330652791034999,6.114264431932646,2.373674435094869,0.03985932004689332,1.9786678129012785,0.1595308202798198,136.5111191517211,853,60
IBEX_35,42,10,FI-GARCH,2.130782404640358,5.000112979680908,2.263572486991669,0.03985932004689332,1.9786678129012785,0.1595308202798198,136.5111191517211,853,60
IBEX_35,42,10,Autoformer,2.228475208120297,5.147467109511659,2.3391810310948404,0.03634232121922626,3.686205063114926,0.054864312067123944,129.80964207365636,853,60
IBEX_35,42,10,Informer,3.4134381833838767,11.700354995969931,2.968918756979254,0.017584994138335287,24.883584020387445,6.08988007133604e-07,82.79389528170037,853,60
IBEX_35,42,10,Reformer,2.202104047635512,5.13572332172269,2.317511473945524,0.04220398593200469,1.149823274424989,0.2835861475206626,137.35950986705424,853,60
