Dataset,Seed,Horizon,Model,MAE,MSE,QLIKE,Violation_Rate,Kupiec_LR,Kupiec_p,LR_Ind,N_eval,Seq_len
VN_INDEX,42,1,GARCH,0.3040311316537985,0.17222022429319375,1.3308671953991775,0.10416666666666667,41.23508543458388,1.3497780670945758e-10,8.230740442173783,864,60
VN_INDEX,42,1,GJR-GARCH,0.32353817174013066,0.20404958219198707,1.3623270698120493,0.10069444444444445,36.591767700461446,1.456455067661011e-09,6.233135026195896,864,60
VN_INDEX,42,1,FI-GARCH,0.2739200426746211,0.14577159569180348,1.2620007829832518,0.10185185185185185,38.11431921409235,6.671869723362533e-10,9.26876014167351,864,60
VN_INDEX,42,1,Autoformer,0.2287450340384438,0.08381623749103558,1.215447959133149,0.10069444444444445,36.591767700461446,1.456455067661011e-09,14.084358430985958,864,60
VN_INDEX,42,1,Informer,0.2501093074045839,0.09583389891189172,1.2292849274235593,0.09375,28.00274781177518,1.2114330905088622e-07,5.507865548830409,864,60
VN_INDEX,42,1,Reformer,0.32493816640788864,0.16918770044879816,1.3536569895126311,0.10069444444444445,36.591767700461446,1.456455067661011e-09,4.7155826497045155,864,60
VN_INDEX,42,1,Transformer,0.2566171120996913,0.10821929236612189,1.2499794673649633,0.09375,28.00274781177518,1.2114330905088622e-07,13.480569008186649,864,60
VN_INDEX,42,1,GARCH-LSTM-Hybrid,0.26847991691523165,0.12402973029298246,1.2584237066482649,0.10300925925925926,39.66217580991406,3.0191649180721924e-10,4.0119312338265445,864,60
VN_INDEX,42,3,GARCH,0.8401430042776545,1.1284450064720049,1.5830983726987833,0.1148491879350348,56.76195684161553,4.9182879990894435e-14,142.04050133679266,862,60
VN_INDEX,42,3,GJR-GARCH,0.8510888353333668,1.221553513402605,1.5894114332632645,0.12064965197215777,66.06618022179055,4.440892098500626e-16,127.6844566487083,862,60
VN_INDEX,42,3,FI-GARCH,0.8419952368715199,1.0881261601123349,1.5785094190130615,0.11600928074245939,58.57793679728536,1.9539925233402755e-14,145.06224125015058,862,60
VN_INDEX,42,3,Autoformer,0.6311369370613533,0.4361948447577668,1.4971717784221072,0.12529002320185614,73.90440841471059,0.0,150.60465626470284,862,60
VN_INDEX,42,3,Informer,0.8080809133638654,0.7371886022734627,1.6311461706554047,0.10904872389791183,48.02853016480594,4.200639835971742e-12,157.81098524246045,862,60
VN_INDEX,42,3,Reformer,0.8027979789126746,0.9458619675533574,1.5927081212275234,0.11020881670533643,49.72832164302747,1.7658097206663115e-12,124.06653439754388,862,60
VN_INDEX,42,3,Transformer,0.7618146729829446,0.7040410719437526,1.594442842934984,0.11716937354988399,60.416541758971334,7.66053886991358e-15,142.04468422176348,862,60
VN_INDEX,42,3,GARCH-LSTM-Hybrid,0.7765363565757424,0.8582852705502546,1.557011392007077,0.11252900232018562,53.198670442475645,3.0142555118573e-13,124.31424591747793,862,60
VN_INDEX,42,5,GARCH,1.3816526019904982,2.7050067917592515,1.9246236947503417,0.12325581395348838,70.26259933183621,0.0,209.6609137255664,860,60
VN_INDEX,42,5,GJR-GARCH,1.389270856805659,2.8604230934152177,1.9259086577908435,0.12209302325581395,68.30841736485456,1.1102230246251565e-16,206.49193338594654,860,60
VN_INDEX,42,5,FI-GARCH,1.4002410559005924,2.658742761423924,1.9330186663695301,0.11744186046511627,60.710473120916504,6.661338147750939e-15,215.46207241811555,860,60
VN_INDEX,42,5,Autoformer,1.1388906755197838,1.3382133116547807,1.8447570638432518,0.12209302325581395,68.30841736485456,1.1102230246251565e-16,192.47835778693928,860,60
VN_INDEX,42,5,Informer,1.3691920411243856,1.9745935870968818,2.002530474098006,0.10116279069767442,37.03256097780752,1.1617296014065914e-09,205.3227201530525,860,60
VN_INDEX,42,5,Reformer,1.3322634477185593,2.312399771676719,1.9321017404453493,0.1127906976744186,53.471604368822,2.623457007189245e-13,209.59438062897738,860,60
VN_INDEX,42,5,Transformer,1.3074252184490716,1.8833385889329373,1.9541907090227577,0.1058139534883721,43.3149923348343,4.659994612410401e-11,189.09610854699827,860,60
VN_INDEX,42,5,GARCH-LSTM-Hybrid,1.321818431706032,2.1872017143382387,1.9071724158814498,0.11511627906976744,57.04537570788477,4.263256414560601e-14,201.4901729611421,860,60
VN_INDEX,42,10,GARCH,2.411056737254654,7.560329464168179,2.4902266571927183,0.12046783625730995,65.23205402500207,6.661338147750939e-16,228.81019109454223,855,60
