Dataset,Seed,Horizon,Model,MAE,MSE,QLIKE,Violation_Rate,Kupiec_LR,Kupiec_p,LR_Ind,N_eval,Seq_len
snp500,42,1,GARCH,0.20729806353516048,0.1077710288980348,0.9963886378918044,0.06812933025404157,5.408942759312026,0.020033845838482334,0.0001689788649628099,866,60
snp500,42,1,GJR-GARCH,0.3075788322198124,0.2027288515016959,1.2417728986082681,0.06928406466512702,6.084342136409475,0.013638514312754757,0.1847084420917895,866,60
snp500,42,1,FI-GARCH,0.1977879047184859,0.09754901442508294,0.9680599171050236,0.06812933025404157,5.408942759312026,0.020033845838482334,0.0001689788649628099,866,60
snp500,42,1,Autoformer,0.15975035461443754,0.04824386707926888,0.940916235642171,0.07390300230946882,9.138755270331444,0.002502512929280165,0.3677177731482857,866,60
snp500,42,1,Informer,0.3227857099973875,0.15837539647604829,1.1311684980640397,0.06351039260969978,3.0770461081797293,0.07940461835548218,0.6607825977408766,866,60
snp500,42,1,Reformer,0.294619107745589,0.13501352083318646,1.048118417219467,0.04041570438799076,1.7871361447644745,0.1812754848841518,0.23393658611450974,866,60
snp500,42,1,Transformer,0.31307381024970704,0.15851208997726488,1.1417534465464303,0.06581986143187067,4.167860207852243,0.041197798977607225,0.4334181584251837,866,60
snp500,42,1,GARCH-LSTM-Hybrid,0.2860093847018997,0.1350256960529349,1.1039721629705486,0.05889145496535797,1.3669392445642075,0.24233846070218223,0.33952351993883667,866,60
snp500,42,3,GARCH,0.743790971055211,0.8158060405972626,1.316768093296078,0.06481481481481481,3.665909807347475,0.05553631475743137,80.86718715782848,864,60
snp500,42,3,GJR-GARCH,0.7238378443861408,0.9386446692878262,1.31364345625942,0.08101851851851852,14.856395638942615,0.00011601401811855983,78.7003444407398,864,60
snp500,42,3,FI-GARCH,0.7000183831052595,0.722069590936971,1.2931131569569327,0.06944444444444445,6.166718014682033,0.013017588798902913,83.79084084252446,864,60
snp500,42,3,Autoformer,0.6982082631450494,0.6266609687688437,1.278885097825692,0.0787037037037037,12.855721143123333,0.0003364490238407791,88.85425940474875,864,60
snp500,42,3,Informer,0.7808141035246137,0.7200933857355513,1.476577120449936,0.0625,2.6422362069012024,0.10405698350359915,73.12138627362009,864,60
snp500,42,3,Reformer,0.9974989512955245,1.3138530883405781,1.5122515439000195,0.046296296296296294,0.2555761615187748,0.6131758125739697,21.254248695061335,864,60
snp500,42,3,Transformer,0.7357144538302275,0.6424798421139121,1.4380349669160875,0.06481481481481481,3.665909807347475,0.05553631475743137,74.75109283385223,864,60
snp500,42,3,GARCH-LSTM-Hybrid,0.7712903817895522,0.9524140766349313,1.3301189590473845,0.07523148148148148,10.095271920856135,0.0014865022459424893,67.37672920615842,864,60
snp500,42,5,GARCH,1.2258551788265577,2.0292882422010297,1.6735108784479598,0.06844547563805105,5.56444142094432,0.01832885702805387,119.75173616240147,862,60
snp500,42,5,GJR-GARCH,1.1638535122620661,2.153674747510582,1.6211624595870875,0.06960556844547564,6.249784884444409,0.0124208389896856,89.8565316451025,862,60
snp500,42,5,FI-GARCH,1.1805100122055356,1.840395660578279,1.650659999544342,0.07192575406032482,7.7274143308437715,0.005438858205403907,139.61659480374612,862,60
snp500,42,5,Autoformer,1.1867486840161712,1.7133733605284298,1.6399821819520946,0.07192575406032482,7.7274143308437715,0.005438858205403907,139.61659480374612,862,60
snp500,42,5,Informer,1.2572461382346145,1.7364563514079445,1.8368038976332017,0.0568445475638051,0.8157461978228184,0.36642682046513986,78.19570493542727,862,60
snp500,42,5,Reformer,1.5758328621874005,3.0753321694092643,1.898407260697527,0.052204176334106726,0.08696610548344097,0.7680701482700082,55.504052970568694,862,60
snp500,42,5,Transformer,1.1878389147761275,1.566992533564011,1.7884409015494969,0.06148491879350348,2.237675328737282,0.13468333002311894,88.10206336649651,862,60
snp500,42,5,GARCH-LSTM-Hybrid,1.2704593390886187,2.2895822374198502,1.6695867504354462,0.06844547563805105,5.56444142094432,0.01832885702805387,86.04882378764785,862,60
snp500,42,10,GARCH,2.145345788558629,5.81191407887615,2.253123144196082,0.06534422403733955,3.889906336156571,0.04857713263611696,180.33269440815448,857,60
snp500,42,10,GJR-GARCH,2.033243104498084,5.894274428357795,2.163404134644909,0.0676779463243874,5.101216244865668,0.023909073323342356,162.5550640932056,857,60
snp500,42,10,FI-GARCH,2.0844554468866394,5.3680642793080215,2.2305708194511,0.06301050175029171,2.8314714810833834,0.09243363115996939,180.3802199222647,857,60
snp500,42,10,Autoformer,2.0898566644885146,5.193420010796114,2.221536842310164,0.06417736289381563,3.341259205436586,0.06756288602229688,175.68350824096328,857,60
snp500,42,10,Informer,2.1894304331876784,4.947128388358763,2.417109886233677,0.047841306884480746,0.08524716649105812,0.7703086639043761,134.97945427614323,857,60
snp500,42,10,Reformer,2.640467286141324,8.337795772786542,2.497285982098915,0.043173862310385065,0.8796421212662153,0.34829971823176265,114.06358521574415,857,60
snp500,42,10,Transformer,2.0912822781297855,4.5273060174361115,2.3613922508509,0.052508751458576426,0.11179873054044265,0.7381055265005049,155.48284337374173,857,60
snp500,42,10,GARCH-LSTM-Hybrid,2.20576488976138,6.4032709979350635,2.234338027224115,0.059509918319719954,1.542097437209975,0.21430587566438175,139.32285948567056,857,60
snp500,42,21,GARCH,3.5691735757721346,15.593891584843343,2.940152926597974,0.04964539007092199,0.002244675567624199,0.9622119570332556,180.3211941768325,846,60
snp500,42,21,GJR-GARCH,3.4061002825234197,15.463392226967514,2.830486199667203,0.06028368794326241,1.7724503632514939,0.18307911779776886,165.15591238614076,846,60
snp500,42,21,FI-GARCH,3.4812569252598453,14.562323974327146,2.9183090225123207,0.0508274231678487,0.012130406465132637,0.9122998330954878,174.77994108929184,846,60
snp500,42,21,Autoformer,3.486331292036555,14.371443170016796,2.908983941686724,0.04846335697399527,0.04247005529407488,0.8367263575044392,186.17297647823563,846,60
snp500,42,21,Informer,3.619871229945369,13.254469215526072,3.1002199117814357,0.04846335697399527,0.04247005529407488,0.8367263575044392,210.2621894536119,846,60
snp500,42,21,Reformer,4.290202505225938,21.682923408269136,3.1966361689726566,0.04373522458628842,0.7285554446344804,0.393351826196056,142.4492459939465,846,60
snp500,42,21,Transformer,3.477663901838569,12.245583336419067,3.0406766975297344,0.0508274231678487,0.012130406465132637,0.9122998330954878,197.05629626942434,846,60
snp500,42,21,GARCH-LSTM-Hybrid,3.664225308323142,17.03384563494211,2.918671290520696,0.05673758865248227,0.776258227036351,0.3782879554504661,179.68866495780168,846,60
snp500,123,1,GARCH,0.20729806353516048,0.1077710288980348,0.9963886378918044,0.06812933025404157,5.408942759312026,0.020033845838482334,0.0001689788649628099,866,60
snp500,123,1,GJR-GARCH,0.3075788322198124,0.2027288515016959,1.2417728986082681,0.06928406466512702,6.084342136409475,0.013638514312754757,0.1847084420917895,866,60
snp500,123,1,FI-GARCH,0.1977879047184859,0.09754901442508294,0.9680599171050236,0.06812933025404157,5.408942759312026,0.020033845838482334,0.0001689788649628099,866,60
snp500,123,1,Autoformer,0.1603166493062751,0.04611214361680535,0.9208462505496748,0.06466512702078522,3.6033604977827167,0.057662899225234154,0.5407935001375108,866,60
snp500,123,1,Informer,0.25132731585426815,0.1332979856685598,1.1456168931915842,0.08198614318706697,15.766164130988784,7.16729205082478e-05,0.8773828632343452,866,60
snp500,123,1,Reformer,0.31994403094700036,0.17490254798362234,1.2479120556382717,0.06351039260969978,3.0770461081797293,0.07940461835548218,0.6607825977408766,866,60
snp500,123,1,Transformer,0.3060383540349446,0.15990601685929026,1.1537217850313324,0.07274826789838337,8.323281747903593,0.003914014342134231,0.46696998826433855,866,60
snp500,123,1,GARCH-LSTM-Hybrid,0.27201892214953116,0.12178693403558562,1.0720540055355827,0.05889145496535797,1.3669392445642075,0.24233846070218223,0.33952351993883667,866,60
snp500,123,3,GARCH,0.743790971055211,0.8158060405972626,1.316768093296078,0.06481481481481481,3.665909807347475,0.05553631475743137,80.86718715782848,864,60
snp500,123,3,GJR-GARCH,0.7238378443861408,0.9386446692878262,1.31364345625942,0.08101851851851852,14.856395638942615,0.00011601401811855983,78.7003444407398,864,60
snp500,123,3,FI-GARCH,0.7000183831052595,0.722069590936971,1.2931131569569327,0.06944444444444445,6.166718014682033,0.013017588798902913,83.79084084252446,864,60
snp500,123,3,Autoformer,0.7955354049086487,0.7662686248120567,1.36047464429338,0.061342592592592594,2.1893266116466066,0.13897006011285473,57.73351826186331,864,60
snp500,123,3,Informer,0.6164152041745262,0.47199631061905833,1.3050111543912724,0.07523148148148148,10.095271920856135,0.0014865022459424893,96.20054522469917,864,60
snp500,123,3,Reformer,0.757159806787204,0.9378404334866688,1.3447131870104898,0.06944444444444445,6.166718014682033,0.013017588798902913,50.76671066047044,864,60
snp500,123,3,Transformer,0.7007158794420763,0.5847405678735093,1.4075984586166908,0.06597222222222222,4.235356954089468,0.039590297725963675,78.55521073331266,864,60
snp500,123,3,GARCH-LSTM-Hybrid,0.7604657152770623,0.9090080911327034,1.3238977185634437,0.07407407407407407,9.24105648030519,0.0023664837968115915,64.02619172192038,864,60
snp500,123,5,GARCH,1.2258551788265577,2.0292882422010297,1.6735108784479598,0.06844547563805105,5.56444142094432,0.01832885702805387,119.75173616240147,862,60
snp500,123,5,GJR-GARCH,1.1638535122620661,2.153674747510582,1.6211624595870875,0.06960556844547564,6.249784884444409,0.0124208389896856,89.8565316451025,862,60
snp500,123,5,FI-GARCH,1.1805100122055356,1.840395660578279,1.650659999544342,0.07192575406032482,7.7274143308437715,0.005438858205403907,139.61659480374612,862,60
snp500,123,5,Autoformer,1.3146856468642556,2.021616784132048,1.7416330158686981,0.06264501160092807,2.69552624893754,0.10063025895617284,106.10093623017656,862,60
snp500,123,5,Informer,1.0171956586413646,1.236713032292891,1.6283080978550213,0.08236658932714618,16.04181548985997,6.195886385873539e-05,145.69607876756635,862,60
snp500,123,5,Reformer,1.2200581195713613,2.1867491234488283,1.657329507252695,0.07192575406032482,7.7274143308437715,0.005438858205403907,91.14861821982123,862,60
snp500,123,5,Transformer,1.132648696416604,1.4389256289617858,1.7495257764976881,0.06844547563805105,5.56444142094432,0.01832885702805387,105.64285796162358,862,60
snp500,123,5,GARCH-LSTM-Hybrid,1.2617631384026065,2.2150028243305253,1.6684466083584057,0.06612529002320186,4.303507701930073,0.03803385019050709,97.62657248191312,862,60
snp500,123,10,GARCH,2.145345788558629,5.81191407887615,2.253123144196082,0.06534422403733955,3.889906336156571,0.04857713263611696,180.33269440815448,857,60
snp500,123,10,GJR-GARCH,2.033243104498084,5.894274428357795,2.163404134644909,0.0676779463243874,5.101216244865668,0.023909073323342356,162.5550640932056,857,60
snp500,123,10,FI-GARCH,2.0844554468866394,5.3680642793080215,2.2305708194511,0.06301050175029171,2.8314714810833834,0.09243363115996939,180.3802199222647,857,60
snp500,123,10,Autoformer,2.2716562780840754,5.96219185901391,2.3380859729704104,0.058343057176196034,1.19471315082302,0.274380915336099,180.5101156890086,857,60
snp500,123,10,Informer,1.8441874529378919,3.785582685473333,2.181347353402064,0.06884480746791131,5.762653556076657,0.01637033064047544,203.7506034322889,857,60
snp500,123,10,Reformer,2.1274966292582262,6.031935981411599,2.202260915937825,0.06301050175029171,2.8314714810833834,0.09243363115996939,171.0117857108773,857,60
snp500,123,10,Transformer,2.013231953922213,4.206949804463894,2.3161245941851294,0.05484247374562427,0.41073392576282686,0.5215972285250489,165.57451104752232,857,60
snp500,123,10,GARCH-LSTM-Hybrid,2.196790335487165,6.244897668141916,2.2370569284556736,0.061843640606767794,2.3612135716124385,0.12438539161619389,157.29422487577827,857,60
snp500,123,21,GARCH,3.5691735757721346,15.593891584843343,2.940152926597974,0.04964539007092199,0.002244675567624199,0.9622119570332556,180.3211941768325,846,60
snp500,123,21,GJR-GARCH,3.4061002825234197,15.463392226967514,2.830486199667203,0.06028368794326241,1.7724503632514939,0.18307911779776886,165.15591238614076,846,60
snp500,123,21,FI-GARCH,3.4812569252598453,14.562323974327146,2.9183090225123207,0.0508274231678487,0.012130406465132637,0.9122998330954878,174.77994108929184,846,60
snp500,123,21,Autoformer,3.749637833530425,16.228794627759054,3.0329145818108594,0.04609929078014184,0.2779470107977886,0.5980499864728468,164.01376331926448,846,60
snp500,123,21,Informer,3.1222220926407354,10.613735013680053,2.851152674926022,0.06619385342789598,4.258106507469847,0.03906344008585061,198.4907947721545,846,60
snp500,123,21,Reformer,3.546216569001647,15.904124782422903,2.874414530262502,0.0591016548463357,1.3975999737222082,0.2371258268857448,169.80226562408507,846,60
snp500,123,21,Transformer,3.3645584729667943,11.471694093124997,2.9920976598950464,0.05200945626477541,0.07102261934875287,0.7898536257910238,191.016354659076,846,60
snp500,123,21,GARCH-LSTM-Hybrid,3.6500561386719688,16.683741493216605,2.922877308269865,0.05673758865248227,0.776258227036351,0.3782879554504661,179.68866495780168,846,60
snp500,202,1,GARCH,0.20729806353516048,0.1077710288980348,0.9963886378918044,0.06812933025404157,5.408942759312026,0.020033845838482334,0.0001689788649628099,866,60
snp500,202,1,GJR-GARCH,0.3075788322198124,0.2027288515016959,1.2417728986082681,0.06928406466512702,6.084342136409475,0.013638514312754757,0.1847084420917895,866,60
snp500,202,1,FI-GARCH,0.1977879047184859,0.09754901442508294,0.9680599171050236,0.06812933025404157,5.408942759312026,0.020033845838482334,0.0001689788649628099,866,60
snp500,202,1,Autoformer,0.18846738969538598,0.061579547561453916,0.9380694420458607,0.05889145496535797,1.3669392445642075,0.24233846070218223,0.33952351993883667,866,60
snp500,202,1,Informer,0.2330914164905153,0.12780363426456498,1.071737897317457,0.08429561200923788,17.94212312793411,2.2772488239675148e-05,0.6082540822002329,866,60
