Dataset,Seed,Horizon,Model,MAE,MSE,QLIKE,Violation_Rate,Kupiec_LR,Kupiec_p,LR_Ind,N_eval,Seq_len
EuroNext_100,42,1,GARCH,12.337709089629248,267.76204713144494,9.796784333862778,0.0,,,,898,60
EuroNext_100,42,3,GARCH,12.17093202336214,253.64414024575387,9.788925220248661,0.0,,,,898,60
EuroNext_100,42,5,GARCH,12.026470340422849,241.59932598828266,9.782200363618806,0.0,,,,898,60
EuroNext_100,42,10,GARCH,11.812208139651428,231.12098983108572,9.772121312191302,0.0,,,,898,60
EuroNext_100,42,21,GARCH,11.896186286304868,233.2668113266832,9.747050422748051,0.0,,,,898,60
EuroNext_100,42,1,GJR-GARCH,18.14108362718315,721.155629794807,9.84408763868504,0.0,,,,898,60
EuroNext_100,42,3,GJR-GARCH,17.98855687358561,708.7943459734104,9.837117416293891,0.0,,,,898,60
EuroNext_100,42,5,GJR-GARCH,17.862231717788738,698.9681397272412,9.831654623612705,0.0,,,,898,60
EuroNext_100,42,10,GJR-GARCH,17.657372514855634,689.1876387967211,9.821922372788114,0.0,,,,898,60
EuroNext_100,42,21,GJR-GARCH,17.196351539521864,650.808715428651,9.79458580406109,0.0,,,,898,60
EuroNext_100,42,1,FI-GARCH,13.472370996374979,371.73380988446075,9.81240951734993,0.0,,,,898,60
EuroNext_100,42,3,FI-GARCH,13.307262316909044,355.5873480649112,9.802640180096805,0.0,,,,898,60
EuroNext_100,42,5,FI-GARCH,13.17887956732824,344.0525058805794,9.79619706619937,0.0,,,,898,60
EuroNext_100,42,10,FI-GARCH,12.97017288269217,332.5338380722547,9.78576003252997,0.0,,,,898,60
EuroNext_100,42,21,FI-GARCH,12.973345650792853,332.01791524573827,9.760146759967393,0.0,,,,898,60
EuroNext_100,42,1,Autoformer,22.561577890329247,1010.2973225136365,9.931770792419108,0.0,,,,898,60
EuroNext_100,42,3,Autoformer,22.492336289621196,1006.4870752378292,9.92829869152848,0.0,,,,898,60
EuroNext_100,42,5,Autoformer,22.49137173363973,1006.4582704575763,9.925625461158063,0.0,,,,898,60
EuroNext_100,42,10,Autoformer,22.488709076283786,1005.8405139258256,9.91884033704737,0.0,,,,898,60
EuroNext_100,42,21,Autoformer,22.493856880968885,1002.47204963238,9.894189468940839,0.0,,,,898,60
EuroNext_100,42,1,Informer,29.200775288565385,1445.9768094463986,10.013799162508674,0.0,,,,898,60
EuroNext_100,42,3,Informer,29.065313515871104,1437.028536203738,10.008892315595864,0.0,,,,898,60
EuroNext_100,42,5,Informer,28.938537760638503,1428.825824190369,10.004171209303953,0.0,,,,898,60
EuroNext_100,42,10,Informer,28.839813574712707,1422.8496978374417,9.995730650655831,0.0,,,,898,60
EuroNext_100,42,21,Informer,28.65744083590437,1400.7949380553068,9.96516003916599,0.0,,,,898,60
EuroNext_100,42,1,Reformer,22.679939413899316,964.5935838499341,9.911361724010954,0.0,,,,898,60
EuroNext_100,42,3,Reformer,22.54914528098694,954.1722790540791,9.90538873884687,0.0,,,,898,60
EuroNext_100,42,5,Reformer,22.419505541073615,942.7820048329663,9.899030606351184,0.0,,,,898,60
EuroNext_100,42,10,Reformer,22.276349440162676,934.5296152950765,9.88923222749346,0.0,,,,898,60
EuroNext_100,42,21,Reformer,22.286301159616123,934.6720533831533,9.863486168208356,0.0,,,,898,60
EuroNext_100,42,1,Transformer,36.59629742189084,1752.5549191114865,10.067778130966573,0.0,,,,898,60
EuroNext_100,42,3,Transformer,36.580064769413596,1751.481058451046,10.06498310047186,0.0,,,,898,60
EuroNext_100,42,5,Transformer,36.57253347979689,1750.9895963278793,10.06229480178824,0.0,,,,898,60
EuroNext_100,42,10,Transformer,36.71875276444531,1759.4318797661472,10.05707598692602,0.0,,,,898,60
EuroNext_100,42,21,Transformer,37.03205476406598,1789.5697230694195,10.038173200579527,0.0,,,,898,60
EuroNext_100,42,1,GARCH-LSTM-Hybrid,25.659461686739224,1156.2804479504143,9.959094739745117,0.0,,,,898,60
EuroNext_100,42,3,GARCH-LSTM-Hybrid,25.630548120286456,1154.3034680425712,9.956108131999493,0.0,,,,898,60
EuroNext_100,42,5,GARCH-LSTM-Hybrid,25.61174578768034,1153.5683461112405,9.95349736582311,0.0,,,,898,60
EuroNext_100,42,10,GARCH-LSTM-Hybrid,25.537023388034235,1149.3931296452918,9.946321764622983,0.0,,,,898,60
EuroNext_100,42,21,GARCH-LSTM-Hybrid,25.482452538112838,1143.6211808212493,9.92182142968902,0.0,,,,898,60
EuroNext_100,123,1,GARCH,12.337709089629248,267.76204713144494,9.796784333862778,0.0,,,,898,60
EuroNext_100,123,3,GARCH,12.17093202336214,253.64414024575387,9.788925220248661,0.0,,,,898,60
EuroNext_100,123,5,GARCH,12.026470340422849,241.59932598828266,9.782200363618806,0.0,,,,898,60
EuroNext_100,123,10,GARCH,11.812208139651428,231.12098983108572,9.772121312191302,0.0,,,,898,60
EuroNext_100,123,21,GARCH,11.896186286304868,233.2668113266832,9.747050422748051,0.0,,,,898,60
EuroNext_100,123,1,GJR-GARCH,18.14108362718315,721.155629794807,9.84408763868504,0.0,,,,898,60
EuroNext_100,123,3,GJR-GARCH,17.98855687358561,708.7943459734104,9.837117416293891,0.0,,,,898,60
EuroNext_100,123,5,GJR-GARCH,17.862231717788738,698.9681397272412,9.831654623612705,0.0,,,,898,60
EuroNext_100,123,10,GJR-GARCH,17.657372514855634,689.1876387967211,9.821922372788114,0.0,,,,898,60
EuroNext_100,123,21,GJR-GARCH,17.196351539521864,650.808715428651,9.79458580406109,0.0,,,,898,60
EuroNext_100,123,1,FI-GARCH,13.472370996374979,371.73380988446075,9.81240951734993,0.0,,,,898,60
EuroNext_100,123,3,FI-GARCH,13.307262316909044,355.5873480649112,9.802640180096805,0.0,,,,898,60
EuroNext_100,123,5,FI-GARCH,13.17887956732824,344.0525058805794,9.79619706619937,0.0,,,,898,60
EuroNext_100,123,10,FI-GARCH,12.97017288269217,332.5338380722547,9.78576003252997,0.0,,,,898,60
EuroNext_100,123,21,FI-GARCH,12.973345650792853,332.01791524573827,9.760146759967393,0.0,,,,898,60
EuroNext_100,123,1,Autoformer,24.36005571174364,1122.0605509390273,9.948167063340296,0.0,,,,898,60
EuroNext_100,123,3,Autoformer,24.2943853686177,1118.7499859011375,9.944819169791913,0.0,,,,898,60
EuroNext_100,123,5,Autoformer,24.27763223363686,1118.5210363128706,9.942117985320257,0.0,,,,898,60
EuroNext_100,123,10,Autoformer,24.267199877540122,1117.4180553603658,9.935395273805216,0.0,,,,898,60
EuroNext_100,123,21,Autoformer,24.26956167291495,1113.065680030717,9.91109686152351,0.0,,,,898,60
EuroNext_100,123,1,Informer,36.63803486330809,1755.5448702400101,10.068112835168732,0.0,,,,898,60
EuroNext_100,123,3,Informer,36.622044973971754,1754.4868165250055,10.065320497026107,0.0,,,,898,60
EuroNext_100,123,5,Informer,36.6147391030231,1754.0099357910005,10.062634661297052,0.0,,,,898,60
EuroNext_100,123,10,Informer,36.76154794340828,1762.4863066736436,10.057420905180681,0.0,,,,898,60
EuroNext_100,123,21,Informer,37.07613308777876,1792.7466243665583,10.038536350816218,0.0,,,,898,60
EuroNext_100,123,1,Reformer,23.903248169867975,1074.4613374441844,9.953659208148547,0.0,,,,898,60
EuroNext_100,123,3,Reformer,23.777933949302955,1064.8790989463596,9.94823131464184,0.0,,,,898,60
EuroNext_100,123,5,Reformer,23.659491161204414,1055.1611962593367,9.942824792560762,0.0,,,,898,60
EuroNext_100,123,10,Reformer,23.528144641435173,1048.1518237946702,9.933841427979765,0.0,,,,898,60
EuroNext_100,123,21,Reformer,23.577514176048627,1048.564923175227,9.908451730591889,0.0,,,,898,60
EuroNext_100,123,1,Transformer,37.1468495025443,1794.1793587802683,10.072718418907831,0.0,,,,898,60
EuroNext_100,123,3,Transformer,37.13209081125699,1793.202866960308,10.069940236502797,0.0,,,,898,60
EuroNext_100,123,5,Transformer,37.12601612981234,1792.8054968977003,10.067267908998545,0.0,,,,898,60
EuroNext_100,123,10,Transformer,37.27594632094292,1801.4639409348738,10.06208094217934,0.0,,,,898,60
EuroNext_100,123,21,Transformer,37.59715564547056,1832.357519591349,10.043289676677874,0.0,,,,898,60
EuroNext_100,123,1,GARCH-LSTM-Hybrid,26.332800359816616,1233.6554464754504,9.986591859835947,0.0,,,,898,60
EuroNext_100,123,3,GARCH-LSTM-Hybrid,26.295094725834566,1230.6151823944545,9.983396198270862,0.0,,,,898,60
EuroNext_100,123,5,GARCH-LSTM-Hybrid,26.27436190715992,1229.5424461419755,9.980954265542335,0.0,,,,898,60
EuroNext_100,123,10,GARCH-LSTM-Hybrid,26.184668899828196,1223.88080733522,9.973601629982165,0.0,,,,898,60
EuroNext_100,123,21,GARCH-LSTM-Hybrid,26.009857064064082,1209.125948218487,9.947846897574909,0.0,,,,898,60
EuroNext_100,202,1,GARCH,12.337709089629248,267.76204713144494,9.796784333862778,0.0,,,,898,60
EuroNext_100,202,3,GARCH,12.17093202336214,253.64414024575387,9.788925220248661,0.0,,,,898,60
EuroNext_100,202,5,GARCH,12.026470340422849,241.59932598828266,9.782200363618806,0.0,,,,898,60
EuroNext_100,202,10,GARCH,11.812208139651428,231.12098983108572,9.772121312191302,0.0,,,,898,60
EuroNext_100,202,21,GARCH,11.896186286304868,233.2668113266832,9.747050422748051,0.0,,,,898,60
EuroNext_100,202,1,GJR-GARCH,18.14108362718315,721.155629794807,9.84408763868504,0.0,,,,898,60
EuroNext_100,202,3,GJR-GARCH,17.98855687358561,708.7943459734104,9.837117416293891,0.0,,,,898,60
EuroNext_100,202,5,GJR-GARCH,17.862231717788738,698.9681397272412,9.831654623612705,0.0,,,,898,60
EuroNext_100,202,10,GJR-GARCH,17.657372514855634,689.1876387967211,9.821922372788114,0.0,,,,898,60
EuroNext_100,202,21,GJR-GARCH,17.196351539521864,650.808715428651,9.79458580406109,0.0,,,,898,60
EuroNext_100,202,1,FI-GARCH,13.472370996374979,371.73380988446075,9.81240951734993,0.0,,,,898,60
EuroNext_100,202,3,FI-GARCH,13.307262316909044,355.5873480649112,9.802640180096805,0.0,,,,898,60
EuroNext_100,202,5,FI-GARCH,13.17887956732824,344.0525058805794,9.79619706619937,0.0,,,,898,60
EuroNext_100,202,10,FI-GARCH,12.97017288269217,332.5338380722547,9.78576003252997,0.0,,,,898,60
EuroNext_100,202,21,FI-GARCH,12.973345650792853,332.01791524573827,9.760146759967393,0.0,,,,898,60
EuroNext_100,202,1,Autoformer,24.16857815512226,1132.195375181363,9.956419626100582,0.0,,,,898,60
EuroNext_100,202,3,Autoformer,24.106936145397093,1128.7337138519338,9.95302557509902,0.0,,,,898,60
EuroNext_100,202,5,Autoformer,24.092613908375764,1128.475489630233,9.950333540920031,0.0,,,,898,60
EuroNext_100,202,10,Autoformer,24.069538184844614,1126.747577526643,9.943508849904077,0.0,,,,898,60
EuroNext_100,202,21,Autoformer,24.024576617680765,1119.5280685492892,9.918659120281854,0.0,,,,898,60
EuroNext_100,202,1,Informer,36.602645498949464,1752.969647623697,10.067823125296824,0.0,,,,898,60
EuroNext_100,202,3,Informer,36.586447535417896,1751.8978289498348,10.065028392380457,0.0,,,,898,60
EuroNext_100,202,5,Informer,36.57893359027402,1751.407476505634,10.062340253216595,0.0,,,,898,60
EuroNext_100,202,10,Informer,36.725187563868126,1759.8517916379258,10.057121727245685,0.0,,,,898,60
EuroNext_100,202,21,Informer,37.03854159690731,1789.9951989655913,10.038219707409212,0.0,,,,898,60
EuroNext_100,202,1,Reformer,26.086684434178533,1206.6158118761248,9.95203361413375,0.0,,,,898,60
EuroNext_100,202,3,Reformer,25.973519893811304,1199.1427868639475,9.947589524327196,0.0,,,,898,60
EuroNext_100,202,5,Reformer,25.86034018403209,1191.1014180603047,9.942898921164629,0.0,,,,898,60
EuroNext_100,202,10,Reformer,25.743327968268467,1185.8786566029717,9.93458130094392,0.0,,,,898,60
EuroNext_100,202,21,Reformer,25.74503760550469,1185.00720641001,9.909163023401263,0.0,,,,898,60
EuroNext_100,202,1,Transformer,37.090574873825496,1956.2442146766518,10.076630733849631,0.0,,,,898,60
EuroNext_100,202,3,Transformer,37.130673555226984,1957.2919625127288,10.074159340937062,0.0,,,,898,60
EuroNext_100,202,5,Transformer,37.08961241980607,1954.6066306510304,10.07104991310692,0.0,,,,898,60
EuroNext_100,202,10,Transformer,37.17599358089002,1959.344589811706,10.065297022049025,0.0,,,,898,60
EuroNext_100,202,21,Transformer,37.41495269818158,1977.0676674070858,10.044449576360261,0.0,,,,898,60
EuroNext_100,202,1,GARCH-LSTM-Hybrid,26.154084709927986,1196.486211805582,9.980005287926828,0.0,,,,898,60
EuroNext_100,202,3,GARCH-LSTM-Hybrid,26.10909601241829,1192.9992606887126,9.976705270035541,0.0,,,,898,60
EuroNext_100,202,5,GARCH-LSTM-Hybrid,26.07744288275896,1191.1146325846357,9.974179779548773,0.0,,,,898,60
EuroNext_100,202,10,GARCH-LSTM-Hybrid,25.983802696977918,1185.8043697780545,9.966747793808445,0.0,,,,898,60
EuroNext_100,202,21,GARCH-LSTM-Hybrid,25.812188275987253,1171.7743308755196,9.94098373464415,0.0,,,,898,60
EuroNext_100,303,1,GARCH,12.337709089629248,267.76204713144494,9.796784333862778,0.0,,,,898,60
EuroNext_100,303,3,GARCH,12.17093202336214,253.64414024575387,9.788925220248661,0.0,,,,898,60
EuroNext_100,303,5,GARCH,12.026470340422849,241.59932598828266,9.782200363618806,0.0,,,,898,60
EuroNext_100,303,10,GARCH,11.812208139651428,231.12098983108572,9.772121312191302,0.0,,,,898,60
EuroNext_100,303,21,GARCH,11.896186286304868,233.2668113266832,9.747050422748051,0.0,,,,898,60
EuroNext_100,303,1,GJR-GARCH,18.14108362718315,721.155629794807,9.84408763868504,0.0,,,,898,60
EuroNext_100,303,3,GJR-GARCH,17.98855687358561,708.7943459734104,9.837117416293891,0.0,,,,898,60
EuroNext_100,303,5,GJR-GARCH,17.862231717788738,698.9681397272412,9.831654623612705,0.0,,,,898,60
EuroNext_100,303,10,GJR-GARCH,17.657372514855634,689.1876387967211,9.821922372788114,0.0,,,,898,60
EuroNext_100,303,21,GJR-GARCH,17.196351539521864,650.808715428651,9.79458580406109,0.0,,,,898,60
EuroNext_100,303,1,FI-GARCH,13.472370996374979,371.73380988446075,9.81240951734993,0.0,,,,898,60
EuroNext_100,303,3,FI-GARCH,13.307262316909044,355.5873480649112,9.802640180096805,0.0,,,,898,60
