time,close,open,high,low,volume,return_1_day
2008-01-03,7908.41,7941.52,7969.9,7858.39,,-0.0051332225178075674
2008-01-04,7808.69,7913.53,7914.7,7780.27,,-0.012689534088112353
2008-01-07,7817.17,7810.82,7858.64,7781.68,,0.0010853803672237206
2008-01-08,7849.99,7844.5,7923.44,7831.51,,0.004189661432979719
2008-01-09,7782.71,7839.23,7841.62,7770.42,,-0.008607651321492327
2008-01-10,7713.09,7799.11,7830.95,7700.85,,-0.008985721091443466
2008-01-11,7717.95,7717.45,7746.47,7675.45,,0.0006298992369515588
2008-01-14,7732.02,7692.54,7759.17,7683.54,,0.0018213632634385135
2008-01-15,7566.38,7714.6,7724.26,7563.9,,-0.021655398356589473
2008-01-16,7471.57,7536.48,7555.56,7450.38,,-0.012609598548310785
2008-01-17,7413.53,7504.85,7547.47,7400.08,,-0.007798441951342383
2008-01-18,7314.17,7417.55,7501.04,7287.29,,-0.013493146586862181
2008-01-21,6790.19,7292.68,7292.68,6762.77,,-0.0743346390464481
2008-01-22,6769.47,6591.39,6877.62,6420.71,,-0.003056126204771914
2008-01-23,6439.21,6811.81,6884.87,6384.4,,-0.05001693551715469
2008-01-24,6821.07,6550.11,6854.98,6550.11,,0.05761048926065726
2008-01-25,6816.74,6884.16,7002.19,6782.41,,-0.0006349993357428474
2008-01-28,6818.85,6749.29,6827.37,6680.3,,0.0003094842272091114
2008-01-29,6892.96,6834.6,6929.88,6823.68,,0.010809764961884127
2008-01-30,6875.35,6886.92,6920.77,6822.44,,-0.002558049550417607
2008-01-31,6851.75,6856.88,6887.75,6691.25,,-0.0034384572490733234
2008-02-01,6968.67,6896.19,7037.16,6896.19,,0.0169202946752236
2008-02-04,7000.49,7018.64,7059.19,6975.93,,0.004555757831555596
2008-02-05,6765.25,6998.74,7000.05,6744.17,,-0.03418093075048745
2008-02-06,6847.51,6726.54,6861.94,6696.94,,0.012085866686092572
2008-02-07,6733.72,6829.07,6839.16,6655.65,,-0.016757342708203282
2008-02-08,6767.28,6777.54,6851.78,6706.18,,0.004971493833298979
2008-02-11,6743.54,6723.97,6812.21,6690.77,,-0.00351422407107016
2008-02-12,6967.84,6793.47,6979.23,6746.2,,0.0327202675789966
2008-02-13,6973.67,6914.21,7007.05,6869.94,,0.0008363513478570894
2008-02-14,6962.28,7024.57,7062.08,6935.31,,-0.0016346216133324987
2008-02-15,6832.43,6966.75,7012.63,6797.76,,-0.018826613292821648
2008-02-18,6967.55,6865.57,6997.77,6865.57,114.68M,0.01958326290755963
2008-02-19,7002.29,6947.68,7079.74,6890.93,,0.004973581889583301
2008-02-20,6899.68,6933.02,6964.93,6852.58,,-0.014762204696717518
2008-02-21,6904.85,6928.34,7017.86,6881.29,,0.0007490295202678965
2008-02-22,6806.29,6889.49,6889.49,6762.77,,-0.01437687860325454
2008-02-25,6882.56,6850.92,6922.61,6825.12,,0.011143491125871208
2008-02-26,6985.97,6906.43,7007.44,6906.43,,0.014913176313461562
2008-02-27,6997.85,7007.69,7017.7,6881.23,,0.001699106947613771
2008-02-28,6862.52,6985.42,6995.39,6849.59,,-0.01952823779894075
2008-02-29,6748.13,6847.9,6864.69,6698.55,,-0.01680929175564927
2008-03-03,6689.95,6692.98,6701.53,6608.61,,-0.008659029194898693
2008-03-04,6545.04,6692.73,6720.16,6516.83,,-0.021898889391941623
2008-03-05,6683.71,6583.3,6699.3,6578.82,,0.020965711719886926
2008-03-06,6591.31,6674.74,6683.16,6569.6,,-0.013921107800056731
2008-03-07,6513.99,6550.55,6562.4,6450.88,,-0.011799943100729848
2008-03-10,6448.08,6487.11,6537.39,6414.52,,-0.010169759622559837
2008-03-11,6524.57,6462.53,6604.0,6431.74,,0.011792638578837611
2008-03-12,6599.37,6574.52,6666.58,6569.36,,0.01139913927675984
2008-03-13,6500.56,6529.62,6529.62,6399.04,,-0.015085862894133939
2008-03-14,6451.9,6500.17,6623.42,6391.56,,-0.007513665963921667
2008-03-17,6182.3,6360.92,6362.02,6167.82,,-0.042684290555843774
2008-03-18,6393.39,6237.63,6417.95,6237.63,,0.033574273630327056
2008-03-19,6361.22,6429.24,6469.99,6310.6,,-0.005044461291728197
2008-03-20,6319.99,6331.06,6376.24,6270.98,,-0.006502556976515805
2008-03-25,6524.71,6443.45,6540.48,6443.36,,0.03187888189759569
2008-03-26,6489.26,6508.43,6538.28,6469.0,,-0.005448005133231959
2008-03-27,6578.06,6486.02,6610.16,6478.81,,0.013591366395338866
2008-03-28,6559.9,6587.21,6616.45,6535.07,,-0.0027645101013664686
2008-03-31,6534.97,6530.11,6541.12,6429.62,,-0.0038076025373676714
2008-04-01,6720.33,6519.02,6734.5,6496.94,,0.027969504072197893
2008-04-02,6777.44,6749.24,6806.66,6726.43,,0.00846218905746099
2008-04-03,6741.72,6788.4,6802.62,6695.83,,-0.005284364283271614
2008-04-04,6763.39,6753.87,6797.23,6691.28,,0.00320915839970759
2008-04-07,6821.03,6802.55,6843.25,6795.06,,0.00848624319889879
2008-04-08,6771.98,6795.05,6795.34,6723.84,,-0.007216975915738999
2008-04-09,6721.36,6751.48,6785.06,6705.06,,-0.007502995918079236
2008-04-10,6704.32,6716.69,6719.07,6608.78,,-0.0025384202736677963
2008-04-11,6603.57,6739.18,6768.12,6570.74,,-0.01514168285281059
2008-04-14,6554.49,6561.9,6573.25,6516.51,,-0.007460100899523425
2008-04-15,6585.05,6581.12,6626.88,6524.9,,0.004651617195667868
2008-04-16,6702.84,6624.61,6710.86,6600.68,,0.017729389001090112
2008-04-17,6681.81,6717.28,6743.14,6665.01,,-0.0031424082520583596
2008-04-18,6843.08,6703.02,6860.38,6703.02,,0.023849013751046755
2008-04-21,6786.55,6840.68,6848.65,6749.72,,-0.008295210384213547
2008-04-22,6728.3,6762.44,6818.62,6702.98,,-0.008620200846078063
2008-04-23,6795.03,6739.65,6813.67,6656.86,,0.00986895115376818
2008-04-24,6821.32,6776.93,6827.9,6720.91,,0.0038615389099962982
2008-04-25,6896.58,6855.67,6945.25,6848.9,,0.010972635038763556
2008-04-28,6925.33,6914.4,6966.47,6819.51,,0.004160067814458657
2008-04-29,6885.34,6905.42,6909.99,6855.11,,-0.0057911906902354815
2008-04-30,6948.82,6888.21,6962.6,6851.52,,0.009177347311693396
2008-05-02,7043.23,6982.06,7092.82,6971.93,,0.013495010779392302
2008-05-05,7052.08,7036.99,7059.92,7021.73,,0.0012557370022996395
2008-05-06,7017.1,7043.65,7062.37,6969.16,,-0.00497258149770019
2008-05-07,7076.25,7040.84,7107.53,7037.01,,0.00839407909566603
2008-05-08,7071.9,7037.63,7073.45,7013.06,,-0.0006149214048587481
2008-05-09,7003.17,7040.79,7040.79,6961.63,,-0.009766281274552924
2008-05-12,7035.95,7021.29,7064.6,7006.42,,0.004669816850336517
2008-05-13,7060.19,7062.6,7080.86,7002.37,,0.003439242784670782
2008-05-14,7083.24,7081.72,7101.49,7001.33,,0.0032594668205891963
2008-05-15,7081.05,7072.12,7088.67,7037.09,,-0.00030922835065538834
2008-05-16,7156.55,7103.84,7205.96,7103.84,,0.010605819478954004
2008-05-19,7225.94,7177.02,7231.86,7165.44,,0.009649308068741647
2008-05-20,7118.5,7188.07,7188.98,7108.25,,-0.014980300270293512
2008-05-21,7040.83,7129.07,7151.38,7013.13,,-0.010970968123832137
2008-05-22,7070.33,7016.21,7090.23,6980.54,,0.004181093967535077
2008-05-23,6944.05,7057.52,7065.9,6934.54,,-0.01802197712241238
2008-05-26,6953.84,6923.94,6965.19,6917.61,,0.0014088471874948993
2008-05-27,6958.66,6966.05,7006.28,6905.86,,0.0006929020942099129
2008-05-28,7033.84,6980.69,7082.26,6955.14,,0.01074586005933753
2008-05-29,7055.03,7055.72,7085.13,7004.7,,0.0030080504650698003
2008-05-30,7096.79,7065.79,7124.61,7063.8,,0.0059017315383957936
2008-06-02,7008.77,7098.7,7102.05,6995.41,,-0.012480347109901757
2008-06-03,7019.13,6986.92,7023.18,6962.38,,0.0014770567060686801
2008-06-04,6965.43,6993.69,6994.2,6898.01,,-0.007679936149809663
2008-06-05,6941.83,6964.71,7008.93,6905.01,,-0.0033939140640715237
