time,close,open,high,low,volume,return_1_day
2008-01-03,983.06,982.83,986.86,977.07,285.62M,-0.0019207225380410975
2008-01-04,967.88,982.39,986.79,963.84,365.05M,-0.015562043274431225
2008-01-07,968.2,964.9,971.38,963.5,393.51M,0.00033056485570170935
2008-01-08,971.79,972.18,978.3,971.01,366.15M,0.0037010542300990323
2008-01-09,960.25,965.28,965.41,957.55,422.37M,-0.0119460645096785
2008-01-10,952.39,966.22,966.9,952.09,352.46M,-0.008219052458433573
2008-01-11,945.46,950.88,952.96,942.64,404.12M,-0.007303033222360256
2008-01-14,949.63,941.34,953.55,941.05,293.01M,0.004400853500581725
2008-01-15,924.5,947.49,949.22,924.29,407.76M,-0.026819384218622844
2008-01-16,914.17,917.76,925.53,908.21,537.96M,-0.011236501044438185
2008-01-17,904.77,922.14,924.05,903.83,450.16M,-0.010335782029192941
2008-01-18,892.66,905.53,915.82,891.03,568.06M,-0.013474998458323562
2008-01-21,836.6,879.18,880.13,832.41,717.98M,-0.06485971028712623
2008-01-22,851.45,799.13,860.28,795.53,909.38M,0.017594719464515407
2008-01-23,819.34,868.12,868.12,811.35,705.25M,-0.03844164035134501
2008-01-24,868.35,853.08,868.35,847.54,629.21M,0.058095721071854456
2008-01-25,864.13,883.36,885.99,860.98,520.81M,-0.004871638744520901
2008-01-28,860.26,851.81,861.08,845.61,361.79M,-0.004488551310823041
2008-01-29,876.74,867.94,877.97,864.19,364.48M,0.01897581405755311
2008-01-30,866.69,869.02,872.34,862.35,374.04M,-0.011529125139364993
2008-01-31,864.47,864.68,870.24,845.88,491.26M,-0.002564755674720587
2008-02-01,882.1,875.23,887.0,873.05,452.71M,0.020188825883474593
2008-02-04,881.66,890.49,890.49,878.44,274.17M,-0.0004989341056917951
2008-02-05,849.44,881.12,881.38,848.31,417.31M,-0.03722918532366837
2008-02-06,856.55,841.54,857.08,841.16,402.90M,0.008335384341106256
2008-02-07,841.51,852.32,853.47,833.95,417.95M,-0.017714796074920436
2008-02-08,838.18,848.21,852.4,833.83,383.85M,-0.00396502254902753
2008-02-11,832.64,830.53,842.46,827.42,343.15M,-0.006631498668434155
2008-02-12,861.03,840.01,861.75,831.55,455.94M,0.03352797114220962
2008-02-13,864.71,853.33,869.43,850.76,368.43M,0.00426484357774104
2008-02-14,867.2,875.06,877.12,864.5,379.59M,0.0028754400813459924
2008-02-15,851.94,866.15,869.95,847.15,384.69M,-0.01775352887106063
2008-02-18,867.76,858.54,870.34,858.54,214.70M,0.018399076917640755
2008-02-19,872.76,865.15,881.34,858.25,324.93M,0.005745425222487555
2008-02-20,858.34,862.43,868.81,854.14,414.15M,-0.016660312564594548
2008-02-21,864.84,865.23,873.12,860.66,363.20M,0.007544227334494558
2008-02-22,857.9,858.42,866.7,852.24,334.10M,-0.008056976145430106
2008-02-25,872.01,867.31,873.16,863.66,284.96M,0.016313349154212453
2008-02-26,881.66,877.36,882.45,872.29,359.21M,0.011005602425897543
2008-02-27,879.73,884.3,884.87,868.49,380.04M,-0.002191451946924161
2008-02-28,864.14,875.79,879.4,863.16,366.99M,-0.017880249497595813
