time,close,open,high,low,volume,return_1_day
2008-01-03,1852.73,1834.44,1858.08,1821.61,253.67M,0.9999483654026725
2008-01-04,1863.9,1853.54,1869.76,1824.41,299.08M,1.000798844737414
2008-01-07,1831.14,1815.73,1840.99,1814.35,268.13M,0.9976452404921307
2008-01-08,1826.23,1838.64,1840.62,1818.69,296.57M,0.999642606087901
2008-01-09,1844.47,1802.06,1844.47,1794.15,277.67M,1.0013233327306226
2008-01-10,1824.78,1847.94,1855.07,1824.78,315.48M,0.9985727903176599
2008-01-11,1782.27,1844.57,1847.11,1776.26,280.82M,0.9968609768121328
2008-01-14,1765.88,1781.0,1790.69,1754.13,249.32M,0.9987658130528224
2008-01-15,1746.95,1781.53,1781.53,1723.14,295.55M,0.9985584327926736
2008-01-16,1704.97,1715.97,1735.51,1701.32,295.61M,0.9967418816946215
2008-01-17,1723.55,1726.03,1732.64,1687.1,296.03M,1.0014565462950327
2008-01-18,1734.72,1689.28,1737.42,1684.39,287.71M,1.0008668514804508
2008-01-21,1683.56,1723.95,1724.39,1673.42,286.06M,0.9959864568594033
2008-01-22,1609.02,1628.92,1636.06,1578.37,316.87M,0.9939039792946059
2008-01-23,1628.42,1652.62,1659.28,1604.54,272.14M,1.0016232295527894
2008-01-24,1663.0,1663.36,1675.69,1649.0,270.63M,1.0028413714844868
2008-01-25,1692.41,1682.93,1692.66,1674.21,272.61M,1.0023637343284626
2008-01-28,1627.19,1668.07,1674.47,1620.9,259.31M,0.994713555309984
2008-01-29,1637.91,1657.9,1662.9,1622.52,275.31M,1.000888003316735
2008-01-30,1589.06,1653.0,1653.2,1578.29,380.52M,0.9959089756645245
2008-01-31,1624.68,1582.19,1630.12,1570.87,334.13M,1.0030075341021198
2008-02-01,1634.53,1645.05,1648.97,1619.65,308.09M,1.0008175806645125
2008-02-04,1690.13,1655.78,1696.56,1655.78,333.08M,1.0045208336110534
2008-02-05,1696.57,1686.2,1697.99,1680.39,253.90M,1.00051168324043
2008-02-11,1640.67,1648.51,1651.72,1633.46,234.30M,0.9954945896250323
2008-02-12,1643.29,1653.6,1654.62,1641.05,291.25M,1.0002155430310644
2008-02-13,1631.78,1663.29,1663.95,1629.57,318.95M,0.9990507220640806
2008-02-14,1697.45,1660.45,1697.45,1660.45,503.95M,1.0053337035813183
2008-02-15,1694.77,1672.39,1696.37,1668.41,485.52M,0.9997875337486641
2008-02-18,1696.24,1701.75,1714.2,1681.02,374.01M,1.0001166056664856
2008-02-19,1720.52,1717.1,1722.71,1708.93,362.83M,1.0019112708869176
2008-02-20,1687.91,1704.66,1718.15,1683.7,321.61M,0.9974316090255732
2008-02-21,1704.36,1708.01,1713.64,1694.58,241.93M,1.0013051103431687
2008-02-22,1686.45,1687.63,1687.63,1670.69,281.41M,0.9985802951259096
2008-02-25,1709.13,1701.75,1715.0,1701.64,299.19M,1.0017978541372656
