time,close,open,high,low,volume,return_1_day
2009-01-05,311.23,311.23,311.23,311.23,,
2009-01-06,314.21,314.21,314.21,314.21,,0.009529363490694692
2009-01-07,320.53,320.53,320.53,320.53,,0.019914323547388913
2009-01-08,314.14,314.14,314.14,314.14,,-0.020137129309431113
2009-01-09,312.9,312.9,312.9,312.9,,-0.003955095740049868
2009-01-12,312.22,312.22,312.22,312.22,,-0.002175583146315742
2009-01-13,306.75,306.75,306.75,306.75,,-0.01767498393749983
2009-01-14,308.28,308.28,308.28,308.28,,0.004975377318771694
2009-01-15,303.55,303.55,303.55,303.55,,-0.015462119333349353
2009-01-16,305.26,305.26,305.26,305.26,,0.005617530910532826
2009-01-19,304.13,304.13,304.13,304.13,,-0.003708630910132044
2009-01-20,301.63,301.63,301.63,301.63,,-0.008254140893783925
2009-01-21,297.55,297.55,297.55,297.55,,-0.013618822592198824
2009-01-22,298.49,298.49,298.49,298.49,,0.0031541533431091884
2009-01-23,300.48,300.48,300.48,300.48,,0.006644764585927825
2009-02-02,294.36,294.36,294.36,294.36,,-0.0205776879614999
2009-02-03,283.86,283.86,283.86,283.86,,-0.03632234918728655
2009-02-04,281.44,281.44,281.44,281.44,,-0.008561877881863758
2009-02-05,273.53,273.53,273.53,273.53,,-0.028507975928740176
2009-02-06,277.54,277.54,277.54,277.54,,0.014553761882356683
2009-02-09,282.68,282.68,282.68,282.68,,0.018350448879789184
2009-02-10,277.34,277.34,277.34,277.34,,-0.019071325496935534
2009-02-11,271.33,271.33,271.33,271.33,,-0.02190839807903395
2009-02-12,270.95,270.95,270.95,270.95,,-0.0014014902345609714
2009-02-13,269.45,269.45,269.45,269.45,,-0.005551457632617476
2009-02-16,267.29,267.29,267.29,267.29,,-0.008048633082969001
2009-02-17,257.71,257.71,257.71,257.71,,-0.03649928957930798
2009-02-18,249.4,249.4,249.4,249.4,,-0.03277688847129269
2009-02-19,249.63,249.63,249.63,249.63,,0.0009217883345121007
2009-02-20,247.09,247.09,247.09,247.09,,-0.010227178850362527
2009-02-23,239.1,239.1,239.1,239.1,,-0.03287076826580665
2009-02-24,230.72,230.72,230.72,230.72,,-0.03567702036769477
2009-02-25,239.66,239.66,239.66,239.66,,0.03801639815778625
2009-02-26,236.91,236.91,236.91,236.91,,-0.011540930076771271
2009-02-27,240.11,240.11,240.11,240.11,,0.013416829495086208
2009-03-02,242.67,242.67,242.67,242.67,,0.010605344025285585
2009-03-03,235.76,235.76,235.76,235.76,,-0.028888157268531597
2009-03-04,238.57,238.57,238.57,238.57,,0.011848429884167847
2009-03-05,240.59,240.59,240.59,240.59,,0.00843147160344865
2009-03-06,239.18,239.18,239.18,239.18,,-0.005877833376394426
2009-03-09,240.42,240.42,240.42,240.42,,0.005170987335446633
2009-03-10,244.01,244.01,244.01,244.01,,0.01482181418384599
2009-03-11,247.73,247.73,247.73,247.73,,0.015130235352731211
2009-03-12,242.66,242.66,242.66,242.66,,-0.020678156788958367
2009-03-13,243.92,243.92,243.92,243.92,,0.005179016056272431
2009-03-16,247.83,247.83,247.83,247.83,,0.015902724562524336
2009-03-17,256.8,256.8,256.8,256.8,,0.03555454457328239
2009-03-18,267.82,267.82,267.82,267.82,,0.04201754125161396
2009-03-19,261.42,261.42,261.42,261.42,,-0.024186803710014252
2009-03-20,261.39,261.39,261.39,261.39,,-0.00011476444610076592
2009-03-23,254.82,254.82,254.82,254.82,,-0.025456131358070348
2009-03-24,266.45,266.45,266.45,266.45,,0.044629195189556374
2009-03-25,274.67,274.67,274.67,274.67,,0.03038376834726114
2009-03-26,284.71,284.71,284.71,284.71,,0.03590074126974069
2009-03-27,285.95,285.95,285.95,285.95,,0.004345852001531894
2009-03-30,280.36,280.36,280.36,280.36,,-0.01974247872920115
