ticker,time,sector,open,high,low,close,volume,MA20,MA50,RSI,Vol20,Vol60,return_30,BVPS (VND),Debt/Equity,EPS (VND),Financial Leverage,Fixed Asset-To-Equity,Market Capital (Bn VND),Net Profit Margin (%),Outstanding Share (Mil Shares),Owners' Equity/Charter Capital,P/B,P/Cash Flow,P/E,P/S,ROA (%),ROE (%)
ACB,2019-01-02,Banking,6.57,6.57,6.42,6.48,1103106,6.648999999999999,6.5374,31.764705882352985,2272065.95,2897079.95,0.0061919702479209,15650.524161143,15.0244538237,1049.9187064346484,16.024453823669788,0.160896414265066,36417221796000.0,0.5108458308478752,1247165130.0,0.3799901282830528,1.8657522074,2.3964264012,8.346752165,2.7337157571,0.0144601155,0.2456468506
BCM,2019-01-02,Real Estate,22.5,22.5,20.58,21.95,32500,21.323,19.4574,64.32291666666663,101920.0,41338.16666666666,0.1923028676258583,0.0,0.0,0.0,4.147661107105215,0.1340072105321423,0.0,0.1896197250088709,0.0,1.250126748917198,0.0,0.0,0.0,0.0,0.0,0.0
BID,2019-01-02,Banking,18.77,18.77,18.25,18.28,805700,18.3925,17.684199999999997,49.66139954853276,1674533.5,2068360.8333333333,0.0396146638269982,14791.5439162447,22.6115845129,512.7774116100186,23.61158451292042,0.1876233527342032,107689533021000.0,0.2150709920508974,3418715334.0,0.7650927075833285,2.1295951375,11.5219124799,12.9351512311,2.4383481305,0.0067068393,0.1611028467
CTG,2019-01-02,Banking,8.81,8.9,8.7,8.7,2420340,9.907,10.2194,14.999999999999956,4794903.5,4072556.0,-0.1928028342615376,18693.5080389905,15.7705808579,502.6281651249072,16.770580857861585,0.1582744506285299,76143623170200.0,0.2492967628244791,3723404556.0,0.9001625255179477,1.0939626718,4.2256793908,9.9071105012,2.1566650914,0.0067989178,0.1147920555
DGC,2019-01-02,Material,10.24,10.24,9.97,9.97,247400,10.73,10.701,23.19587628865979,126415.2,131178.21666666667,-0.0228071363164783,25972.2052128023,0.5574709452,2282.7747188392955,1.5574709452061477,0.7541016064432359,4538503689800.0,0.1637965067296617,107802938.0,0.7690759623617281,1.6209636284,4.8488869917,6.1073001048,2.194741004,0.210427587,0.2888259354
FPT,2019-01-02,Technology,13.2,13.31,12.99,13.01,459120,13.613000000000005,13.4692,28.571428571428555,602206.0,600738.5,-0.0465549531840274,19350.316469963,0.9824389761,1181.5055508134603,1.9824389760828744,0.395476843287151,26505549907200.0,0.1200978871469473,613554396.0,0.8315086310670021,2.2325216266,9.2019958813,8.1434833081,0.9217132799,0.1244352955,0.2354154541
GAS,2019-01-02,Oil & Gas,51.14,51.61,51.14,51.55,417520,54.9115,56.4962,29.624170965364783,638294.0,566281.6666666666,-0.1048754319713801,22202.6565600977,0.3783124698,1672.473082814598,1.3783124697560596,0.4330996008855317,170341550000000.0,0.173721873142679,1913950000.0,1.8341427013518388,4.0085293289,11.3751017332,13.5734527943,2.3114573067,0.195299227,0.2816030907
GVR,2019-01-02,Material,8.12,8.21,8.12,8.21,7900,8.09,8.078199999999999,55.96330275229359,63338.5,73882.66666666667,-0.0096970456828665,0.0,0.0,0.0,1.563513295075821,0.5148114855643491,0.0,0.0940852735411373,0.0,1.199262256935075,0.0,0.0,0.0,0.0,0.0,0.0
HDB,2019-01-02,Banking,5.98,5.98,5.57,5.57,723350,5.8955,6.135,34.88372093023257,1742907.5,1823893.1666666667,-0.0908937172400728,15162.0769338589,11.4967498324,578.1194010085044,12.496749832430371,0.0947271382316857,29429993130000.0,0.3206496726985717,980999771.0,0.3187548692703813,1.9786207477,239.5675857761,11.9787965992,3.3789962702,0.0125190675,0.156075095
HPG,2019-01-02,Material,8.2,8.34,8.17,8.17,4196210,8.5465,9.3498,30.113636363636417,5415206.5,4845150.0,-0.1402407804040467,18316.7848996574,0.7959550545,1130.9121651633432,1.7959550545214906,0.3352578770068196,61593307814000.0,0.1692905170416959,2123907166.0,0.5085515505506343,1.5832472871,8.6308420009,6.6912900879,1.1365104281,0.1536381545,0.2583963111
LPB,2019-01-02,Banking,3.38,3.38,3.27,3.27,382061,3.3050000000000006,3.22,40.42553191489364,863326.8,959246.0166666668,0.0373875320716204,10194.7656982827,15.6209155858,283.58700803624487,16.620915585818477,0.1460071071511051,8376957401717.0,0.221182294801258,987499399.0,0.3370061702575729,0.8320936695,-1.7261654893,6.3944121077,1.7371578654,0.0060926364,0.1060535204
MBB,2019-01-02,Banking,5.11,5.16,5.07,5.07,3645490,5.555,5.5534,10.416666666666714,7547165.0,6010248.833333333,-0.0958479587901276,14554.1807959806,9.3545532381,815.1273458349582,10.354553238076946,0.0787935499906919,42668914774750.0,0.4847753694979958,2160451381.0,0.4122612337077309,1.3569983963,31.4411245901,8.4372435294,2.4136062964,0.0154747139,0.1616188715
MSN,2019-01-02,Food & Beverage,63.85,63.85,63.28,63.6,433670,66.5615,65.96520000000001,26.150121065375306,646278.5,748971.3333333334,-0.0399159237847549,15148.1518694619,1.9100601087,643.0901351302421,2.9100601086588407,1.2837204215306084,92005129246800.0,0.0815593858878416,1163149548.0,1.4648437525048432,5.2217591084,19.2897358377,15.3073415496,2.5002022265,0.0891670309,0.2696445135
MWG,2019-01-02,Retail,26.98,26.98,26.51,26.51,351730,26.9815,26.334,41.52744630071602,534891.5,506599.5,0.009475151426284,18409.2883716335,2.1296286498,1460.9028608132794,3.129628649751204,0.4080549271187969,37045408254800.0,0.0309631847496914,443126893.0,0.5554062432594392,4.5411858575,50.0983997823,12.9680627581,0.4399862718,0.1145120387,0.3824129582
PLX,2019-01-02,Oil & Gas,41.57,42.72,41.57,41.88,380020,44.6815,44.6794,27.59856630824372,477446.5,518208.0,-0.0811441506750762,16915.5588327044,1.8099030475,695.0255308268032,2.809903047462868,0.672592700660618,62460033366500.0,0.0174423913546458,1158813235.0,1.7244862196572754,3.1864155676,-199.7806605086,16.423871805,0.3357529486,0.058311755,0.1648457504
SAB,2019-01-02,Food & Beverage,100.18,100.18,93.18,93.18,46990,93.5735,89.67380000000001,45.42274052478136,44492.0,41741.0,0.0216975316033552,25959.6567206043,0.2992653128,1520.1980320376963,1.2992653128330818,0.2647797470819601,149418516338000.0,0.1138510698269047,641281186.0,1.380257277743994,8.9754653734,33.5198681702,32.3978476511,4.1493908899,0.2099438751,0.2846464411
SHB,2019-01-02,Banking,2.41,2.41,2.34,2.37,2033485,2.4525,2.4686000000000003,33.33333333333333,3298278.5,4357905.75,-0.041328195492846,13343.6432060949,17.6680971095,231.615314850359,18.66809710948728,0.247861670388376,8662463452800.0,0.2373136120575934,1203119924.0,0.3494406624904062,0.5395827728,1.1599387967,5.0566805447,1.3547565022,0.0053789228,0.1019390984
SSI,2019-01-02,Securities,8.39,8.46,8.25,8.33,1216350,8.904,8.890999999999998,21.379310344827545,1628146.5,2108223.6666666665,-0.0729067708080879,18549.0862286261,1.461358328,743.4778346196846,2.4613583279804216,0.0128109232341347,13289345012700.0,0.4330240998620929,509170307.0,0.4577713612815032,1.4070773988,-2.7364611747,9.0165073772,3.4780156514,0.0690751386,0.1589909623
STB,2019-01-02,Banking,12.0,12.05,11.6,11.6,3858970,12.3725,12.323999999999998,27.5,4256281.0,5798671.166666667,-0.0585941642660529,13184.8472758898,15.9717110731,90.47192624498372,16.97171107311142,0.3409804382888028,21102745119300.0,0.0788231117208199,1803653429.0,1.2614415845449063,0.8873822924,5.2659967989,15.8344137843,1.917094985,0.00342992,0.0565142626
TCB,2019-01-02,Banking,12.28,12.31,12.09,12.09,1329030,12.9555,12.638,18.932038834951584,2348972.5,1769879.3333333333,-0.0349487010452511,14151.2074430779,5.3013202987,589.0203677628791,6.301320298673828,0.0320543636536374,93184181064000.0,0.6607721441622378,3496592160.0,0.6982687307961268,1.8832315269,12.6573957328,10.206529667,4.8839498671,0.0303598251,0.2171344399
TPB,2019-01-02,Banking,5.74,5.74,5.51,5.64,101860,5.7905,5.695999999999999,31.91489361702122,308101.5,372009.0,-0.0245196171743187,11994.2970219551,11.439886799,553.2751651048472,12.43988679896652,0.0265212001497349,17691921520000.0,0.4203652507134849,850573150.0,0.367766929221603,1.7341574885,-3.577925098,10.7581213311,3.4328968756,0.0123639765,0.1823519374
VCB,2019-01-02,Banking,23.07,23.24,22.9,22.94,1081640,23.7085,23.5398,30.919220055710355,1241833.5,1261761.6666666667,-0.0073833125850645,18229.38220207,15.1737096153,791.2437229713502,16.173709615334886,0.099796788306381,204730035129600.0,0.3948888014236647,3708877448.0,0.736343602495753,3.0280784828,-3.2213476669,16.456916004,5.6669183733,0.0120500618,0.209957537
VHM,2019-01-02,Real Estate,53.66,53.66,52.93,53.51,334420,56.3805,54.555,18.447837150127185,359473.5,422410.3333333333,0.0080683428592063,12299.141698177,1.9863633011,1148.8230804995867,2.986363301137508,0.0085496163855154,274660141276000.0,0.5594495325876988,3349513918.0,1.1266272957169845,6.6671319034,-33.3513791104,25.2138837187,10.7136683804,0.1084970182,0.3175874967
VIB,2019-01-02,Banking,3.45,3.45,3.4,3.42,105940,3.605,3.6194,25.757575757575736,169029.95,143389.88333333333,-0.11060987154397,13464.3901769506,12.0948026835,606.7289091757831,13.09480268353281,0.0349245269985351,13429296403675.0,0.3580536190755884,751541575.0,0.2972688609267932,1.327130287,-3.3678232343,6.7369145928,2.4675900807,0.0154315114,0.2122803571
VIC,2019-01-02,Real Estate,44.98,45.02,43.33,44.62,602450,45.215500000000006,44.0096,43.73040752351093,475325.0,761130.6666666666,0.0407099434248382,16324.9071355378,1.7339649702,192.30140629908016,2.7339649701810176,0.4369578584238378,331609445797000.0,0.0261658083617612,3191621230.0,1.268641796294229,6.3645078736,18.9416678634,86.2116116326,2.8261299792,0.0160985493,0.0518268907
VJC,2019-01-02,Transportation,118.96,120.24,114.99,115.98,509920,125.152,127.0594,11.206896551723972,487063.0,582054.3333333334,-0.0929716215812369,22985.5291031779,1.807646374,3106.44153108694,2.8076463739832542,0.1393843316003344,66726516348800.0,0.1323451203589886,541611334.0,2.1045203597693414,5.3598940206,7.5287286316,12.2751317148,1.2429350503,0.1628848361,0.475130983
VNM,2019-01-02,Food & Beverage,71.47,72.94,71.18,72.94,403570,75.755,72.3318,31.473069435431498,764505.0,876527.6666666666,0.0800312828233446,14619.7014870511,0.3112199219,1470.1468722587106,1.3112199219280236,0.4478405441768716,235960764352500.0,0.1863907387414484,1741407855.0,1.2416632779593535,9.2683150966,36.0408755631,24.3963521025,4.5456959735,0.275948513,0.3769073605
VPB,2019-01-02,Banking,6.51,6.51,6.33,6.33,1037420,6.916500000000001,6.890599999999999,18.633540372670808,3087936.5,3528225.833333333,-0.1119736715495436,13020.0408160157,8.2605274136,569.5137602871616,9.260527413605118,0.0297704714958256,49134967320000.0,0.2330982168174337,2456748366.0,0.4031670281771849,1.5360934948,6.8722685446,7.2551180484,1.6621555637,0.0237532184,0.2165490782
VRE,2019-01-02,Real Estate,27.63,28.56,27.58,27.97,2061280,30.228500000000004,29.7374,24.386724386724367,1627080.5,1428918.6666666667,-0.0457721818792424,11928.438532955,0.3222168036,238.10087270952133,1.3222168035948765,0.0101901102947223,68234379413000.0,0.1880184932095199,2328818410.0,1.19431445242345,2.4563147908,21.1941448197,27.6523716766,8.9714055245,0.0603097944,0.0832756515
ACB,2019-01-03,Banking,5.84,6.46,5.84,6.24,1956382,6.616,6.530799999999999,19.60784313725492,2229779.05,2879519.333333333,-0.0284379353205335,15650.524161143,15.0244538237,1049.9187064346484,16.024453823669788,0.160896414265066,36417221796000.0,0.5108458308478752,1247165130.0,0.3799901282830528,1.8657522074,2.3964264012,8.346752165,2.7337157571,0.0144601155,0.2456468506
BCM,2019-01-03,Real Estate,21.03,21.03,20.12,20.12,12700,21.3,19.4976,41.712204007285976,100985.0,41091.5,0.1157969376847539,0.0,0.0,0.0,4.147661107105215,0.1340072105321423,0.0,0.1896197250088709,0.0,1.250126748917198,0.0,0.0,0.0,0.0,0.0,0.0
BID,2019-01-03,Banking,18.28,18.45,17.46,17.46,1107500,18.354000000000003,17.6524,34.40860215053762,1611196.0,2065650.1666666667,0.0092060489077228,14791.5439162447,22.6115845129,512.7774116100186,23.61158451292042,0.1876233527342032,107689533021000.0,0.2150709920508974,3418715334.0,0.7650927075833285,2.1295951375,11.5219124799,12.9351512311,2.4383481305,0.0067068393,0.1611028467
CTG,2019-01-03,Banking,8.7,8.79,8.26,8.28,5513360,9.774,10.1686,10.543130990415278,4868082.5,4108842.5,-0.2488960474166244,18693.5080389905,15.7705808579,502.6281651249072,16.770580857861585,0.1582744506285299,76143623170200.0,0.2492967628244791,3723404556.0,0.9001625255179477,1.0939626718,4.2256793908,9.9071105012,2.1566650914,0.0067989178,0.1147920555
DGC,2019-01-03,Material,9.97,10.08,9.54,9.63,151300,10.645,10.6774,19.73684210526315,125774.55,131063.01666666666,-0.0633696139325891,25972.2052128023,0.5574709452,2282.7747188392955,1.5574709452061477,0.7541016064432359,4538503689800.0,0.1637965067296617,107802938.0,0.7690759623617281,1.6209636284,4.8488869917,6.1073001048,2.194741004,0.210427587,0.2888259354
FPT,2019-01-03,Technology,13.09,13.09,12.85,12.88,716600,13.5475,13.4602,22.380952380952408,587477.5,606024.5,-0.0617201121578715,19350.316469963,0.9824389761,1181.5055508134603,1.9824389760828744,0.395476843287151,26505549907200.0,0.1200978871469473,613554396.0,0.8315086310670021,2.2325216266,9.2019958813,8.1434833081,0.9217132799,0.1244352955,0.2354154541
GAS,2019-01-03,Oil & Gas,51.37,51.67,49.89,50.31,404480,54.5615,56.2028,24.43977591036416,615975.5,570190.8333333334,-0.1262499281054084,22202.6565600977,0.3783124698,1672.473082814598,1.3783124697560596,0.4330996008855317,170341550000000.0,0.173721873142679,1913950000.0,1.8341427013518388,4.0085293289,11.3751017332,13.5734527943,2.3114573067,0.195299227,0.2816030907
GVR,2019-01-03,Material,8.12,8.21,8.03,8.12,17600,8.0945,8.0852,55.96330275229356,63638.5,73048.0,-0.0110227692907504,0.0,0.0,0.0,1.563513295075821,0.5148114855643491,0.0,0.0940852735411373,0.0,1.199262256935075,0.0,0.0,0.0,0.0,0.0,0.0
