index,metric,horizon,moirai,moirai2,moirai_moe
DAX_40,MSE,1,0.019868,0.002866,0.006961
DAX_40,MSE,3,0.020895,0.003708,0.007704
DAX_40,MSE,5,0.022286,0.004679,0.009157
DAX_40,MSE,10,0.029617,0.009078,0.013673
DAX_40,MSE,21,0.049674,0.019375,0.023818
DAX_40,MAE,1,0.113973,0.042324,0.057182
DAX_40,MAE,3,0.117569,0.048281,0.061067
DAX_40,MAE,5,0.121284,0.05303,0.066844
DAX_40,MAE,10,0.139781,0.072075,0.083307
DAX_40,MAE,21,0.1862,0.102339,0.110792
DAX_40,Q-LIKE,1,0.03399,0.005876,0.01046
DAX_40,Q-LIKE,3,0.036138,0.007843,0.011968
DAX_40,Q-LIKE,5,0.038598,0.00956,0.015018
DAX_40,Q-LIKE,10,0.050834,0.018408,0.023923
DAX_40,Q-LIKE,21,0.085311,0.037349,0.043769
EuroNext_100,MSE,1,0.011427,0.003631,0.004557
EuroNext_100,MSE,3,0.011843,0.004285,0.005636
EuroNext_100,MSE,5,0.014072,0.005634,0.007002
EuroNext_100,MSE,10,0.02252,0.011295,0.012681
EuroNext_100,MSE,21,0.037128,0.029377,0.024991
EuroNext_100,MAE,1,0.079151,0.049073,0.047082
EuroNext_100,MAE,3,0.080519,0.052988,0.053514
EuroNext_100,MAE,5,0.08821,0.05937,0.058611
EuroNext_100,MAE,10,0.108215,0.079089,0.081738
EuroNext_100,MAE,21,0.140841,0.133164,0.119158
EuroNext_100,Q-LIKE,1,0.020576,0.009465,0.008264
EuroNext_100,Q-LIKE,3,0.021584,0.010728,0.010761
EuroNext_100,Q-LIKE,5,0.026509,0.013891,0.0142
EuroNext_100,Q-LIKE,10,0.043009,0.026007,0.027614
EuroNext_100,Q-LIKE,21,0.077648,0.062039,0.055533
IBEX_35,MSE,1,0.014474,0.006369,0.008294
IBEX_35,MSE,3,0.014868,0.007394,0.010137
IBEX_35,MSE,5,0.016963,0.010485,0.010314
IBEX_35,MSE,10,0.024935,0.015379,0.016504
IBEX_35,MSE,21,0.041176,0.031323,0.02831
IBEX_35,MAE,1,0.088032,0.067552,0.071373
IBEX_35,MAE,3,0.088443,0.070785,0.079407
IBEX_35,MAE,5,0.094121,0.083878,0.076639
IBEX_35,MAE,10,0.116206,0.091748,0.096672
IBEX_35,MAE,21,0.146201,0.128909,0.125274
IBEX_35,Q-LIKE,1,0.029425,0.014877,0.016092
IBEX_35,Q-LIKE,3,0.028545,0.016159,0.019624
IBEX_35,Q-LIKE,5,0.03379,0.021801,0.020346
IBEX_35,Q-LIKE,10,0.048213,0.028854,0.032976
IBEX_35,Q-LIKE,21,0.079605,0.056292,0.057869
KOSPI_index,MSE,1,0.039303,0.009845,0.016254
KOSPI_index,MSE,3,0.039202,0.011774,0.018608
KOSPI_index,MSE,5,0.042742,0.014003,0.021667
KOSPI_index,MSE,10,0.050184,0.022276,0.02966
KOSPI_index,MSE,21,0.067006,0.046968,0.048549
KOSPI_index,MAE,1,0.128177,0.065962,0.086505
KOSPI_index,MAE,3,0.128606,0.073703,0.09613
KOSPI_index,MAE,5,0.136267,0.08044,0.10347
KOSPI_index,MAE,10,0.152549,0.100918,0.123104
KOSPI_index,MAE,21,0.184334,0.155679,0.158452
KOSPI_index,Q-LIKE,1,0.060653,0.013158,0.021293
KOSPI_index,Q-LIKE,3,0.060475,0.016983,0.024821
KOSPI_index,Q-LIKE,5,0.067687,0.021662,0.029499
KOSPI_index,Q-LIKE,10,0.081479,0.037356,0.04339
KOSPI_index,Q-LIKE,21,0.114384,0.081486,0.079602
Nikkei_225,MSE,1,0.08496,0.017101,0.025809
Nikkei_225,MSE,3,0.08484,0.018504,0.029889
Nikkei_225,MSE,5,0.087436,0.023626,0.037979
Nikkei_225,MSE,10,0.101866,0.038755,0.055209
Nikkei_225,MSE,21,0.140226,0.082869,0.092978
Nikkei_225,MAE,1,0.166036,0.079561,0.093134
Nikkei_225,MAE,3,0.166938,0.083428,0.101418
Nikkei_225,MAE,5,0.17099,0.090734,0.111012
Nikkei_225,MAE,10,0.184828,0.109111,0.132564
Nikkei_225,MAE,21,0.231223,0.172501,0.176483
Nikkei_225,Q-LIKE,1,0.078604,0.012846,0.019689
Nikkei_225,Q-LIKE,3,0.077893,0.015262,0.024478
Nikkei_225,Q-LIKE,5,0.081644,0.022281,0.033383
Nikkei_225,Q-LIKE,10,0.101334,0.042999,0.056878
Nikkei_225,Q-LIKE,21,0.1469,0.10106,0.108232
SMI,MSE,1,0.011504,0.002262,0.004986
SMI,MSE,3,0.013335,0.002943,0.005957
SMI,MSE,5,0.014024,0.00415,0.006968
SMI,MSE,10,0.021234,0.008826,0.011736
SMI,MSE,21,0.035625,0.020822,0.022564
SMI,MAE,1,0.076692,0.034404,0.046694
SMI,MAE,3,0.085684,0.039639,0.052712
SMI,MAE,5,0.083182,0.044789,0.054898
SMI,MAE,10,0.101454,0.060665,0.067464
SMI,MAE,21,0.131132,0.103206,0.095141
SMI,Q-LIKE,1,0.024623,0.006079,0.011858
SMI,Q-LIKE,3,0.029574,0.008351,0.014967
SMI,Q-LIKE,5,0.031002,0.011884,0.017674
SMI,Q-LIKE,10,0.049043,0.024695,0.033648
