index,metric,horizon,Vanilla,Autoformer,Informer,Reformer
IBEX_35,MAE,1,0.4138199,0.327189,0.371853,0.36952165
IBEX_35,MAE,3,0.50532764,0.35845235,0.3596098,0.29577354
IBEX_35,MAE,5,0.37824115,0.35835156,0.29732525,0.35041112
IBEX_35,MAE,10,0.36454293,0.3454973,0.30328035,0.28436148
IBEX_35,MAE,21,0.36696953,0.32930127,0.2790811,0.4397321
IBEX_35,MSE,1,0.25639844,0.17903073,0.20975387,0.17923626
IBEX_35,MSE,3,0.37927064,0.19371684,0.18248223,0.12122647
IBEX_35,MSE,5,0.21827434,0.18773076,0.13908967,0.15981932
IBEX_35,MSE,10,0.20948918,0.17300019,0.14481887,0.114209004
IBEX_35,MSE,21,0.2014929,0.15756498,0.1239232,0.23927748
IBEX_35,QLIKE,1,0.079962716,0.0754054,0.07041532,0.063643605
IBEX_35,QLIKE,3,0.10050773,0.069293246,0.063696474,0.046834454
IBEX_35,QLIKE,5,0.075962424,0.067356445,0.057132598,0.05890186
IBEX_35,QLIKE,10,0.088693514,0.06355671,0.06127611,0.044927027
IBEX_35,QLIKE,21,0.06964826,0.05948927,0.051327836,0.08137589
DAX_40,MAE,1,0.49717903,0.4271541,0.41812387,0.48487467
DAX_40,MAE,3,0.4520472,0.39092407,0.4269547,0.46156558
DAX_40,MAE,5,0.43041834,0.3987942,0.4272838,0.4367192
DAX_40,MAE,10,0.42016557,0.38740426,0.4126357,0.4485336
DAX_40,MAE,21,0.3994434,0.388335,0.4273573,0.4069597
DAX_40,MSE,1,0.50825524,0.3909147,0.43679547,0.5083408
DAX_40,MSE,3,0.4846184,0.35283875,0.43316907,0.47712064
DAX_40,MSE,5,0.4386892,0.3983093,0.44553167,0.43686444
DAX_40,MSE,10,0.39625153,0.34589732,0.42178452,0.45786586
DAX_40,MSE,21,0.35043928,0.3036108,0.4314095,0.4084678
DAX_40,QLIKE,1,0.17198251,0.11836214,0.16324794,0.19558735
DAX_40,QLIKE,3,0.1950812,0.10189845,0.16335762,0.17166828
DAX_40,QLIKE,5,0.15068416,0.1386852,0.17235142,0.14821534
DAX_40,QLIKE,10,0.12007358,0.103282385,0.16136824,0.17236814
DAX_40,QLIKE,21,0.11033861,0.089038216,0.18533541,0.15912044
KOSPI_index,MAE,1,0.38771075,0.41840965,0.37445426,0.38571757
KOSPI_index,MAE,3,0.38333482,0.39233217,0.3687185,0.39714727
KOSPI_index,MAE,5,0.373692,0.382383,0.3957558,0.3661589
KOSPI_index,MAE,10,0.3970633,0.3875091,0.35808825,0.3691133
KOSPI_index,MAE,21,0.37971005,0.368885,0.39467883,0.36450982
KOSPI_index,MSE,1,0.20696442,0.24591303,0.19598566,0.20719902
KOSPI_index,MSE,3,0.20350413,0.20506403,0.19176565,0.22027253
KOSPI_index,MSE,5,0.19442552,0.19417772,0.2127809,0.19180611
KOSPI_index,MSE,10,0.21347208,0.20529284,0.17694844,0.1904385
KOSPI_index,MSE,21,0.19681269,0.18313023,0.21017534,0.18850389
KOSPI_index,QLIKE,1,0.12721087,0.13491118,0.11999582,0.13165452
KOSPI_index,QLIKE,3,0.124740556,0.116050966,0.11832152,0.14757176
KOSPI_index,QLIKE,5,0.116078585,0.11585452,0.13721748,0.1175222
KOSPI_index,QLIKE,10,0.13327962,0.11075034,0.102830164,0.1169369
KOSPI_index,QLIKE,21,0.11068891,0.10528695,0.120899454,0.11052792
SMI,MAE,1,0.24053715,0.256569,0.24769415,0.27702653
SMI,MAE,3,0.24081615,0.23927225,0.2168343,0.25172314
SMI,MAE,5,0.21005587,0.21514508,0.2309624,0.2364837
SMI,MAE,10,0.19421618,0.20716518,0.20149514,0.23099321
SMI,MAE,21,0.19494753,0.18752454,0.19774134,0.2181141
SMI,MSE,1,0.13219708,0.13895804,0.12988609,0.15636425
SMI,MSE,3,0.122153826,0.11557042,0.09680907,0.13907798
SMI,MSE,5,0.09423888,0.09458819,0.104887776,0.116940245
SMI,MSE,10,0.076376095,0.08443425,0.0715749,0.10685429
SMI,MSE,21,0.06568106,0.071816504,0.07641454,0.09134277
SMI,QLIKE,1,0.0721001,0.07816633,0.08962334,0.07749603
SMI,QLIKE,3,0.063949786,0.06550237,0.059166256,0.06702128
SMI,QLIKE,5,0.052811965,0.058318708,0.06835617,0.06309275
SMI,QLIKE,10,0.047033127,0.059408195,0.045009337,0.06573264
SMI,QLIKE,21,0.040555518,0.053404663,0.05578851,0.05723697
VN30_INDEX,MAE,1,0.3944159,0.40779197,0.3566854,0.40421546
VN30_INDEX,MAE,3,0.418373,0.37302354,0.35838962,0.38991335
VN30_INDEX,MAE,5,0.36326247,0.39664355,0.3724824,0.3745026
